,date,成交量,1,2,3,4,5,6,7,7+,涨停数,跌停数,炸板率,连板高度,连板股数,连板溢价,l_emo,l_bar,h_bar,weighted_emo,weighted_emo_R,short,short_R,long,long_R,position
20,20200207,9292.91416275,88,33,21,13,9,5,1,3,173,2,0.2345132743362832,13,173,4.541983962264151,149.5428571428572,56.766666666666666,10.0,56.00161254535554,12.0,115.30924968671683,0.9566383441607289,13.608211481049912,-5.172743575963236,>90%
21,20200210,8854.683446800002,113,8,7,7,5,5,1,1,147,27,0.2461538461538461,8,147,0.803535294117647,124.69090909090907,58.53333333333333,10.0,68.39377979377988,9.0,118.09280649540523,0.9661283348350636,19.246229338192773,-2.013577308096559,>90%
22,20200211,7858.225014869999,39,8,2,1,1,3,2,0,56,34,0.282051282051282,7,56,-1.6421499999999996,50.1695652173913,60.06666666666666,10.0,70.30936954351242,8.0,91.94645535020538,0.9238687345440515,23.693730961569386,-0.47718398832033193,>90%
23,20200212,7898.71803017,97,5,3,2,1,1,2,1,112,0,0.125,8,112,6.45205294117647,98.43333333333332,58.53333333333333,9.5,54.25674366333974,14.0,40.97394486552098,0.17020437959805668,21.33158793667549,-1.3439417706937227,>90%
24,20200213,8708.81539846,35,14,2,1,1,1,1,2,57,2,0.3522727272727273,8,57,4.012013333333333,52.399999999999984,60.06666666666666,9.0,49.164117619993974,15.0,24.671935555386646,-1.9993593260599902,22.803445160626953,-0.885679979367546,>90%
25,20200214,8128.053922689999,47,7,4,1,1,1,1,3,65,2,0.3010752688172043,9,65,4.6825090909090905,59.71153846153845,58.53333333333333,9.0,34.68228269524978,29.0,12.780525213011625,-11.362559234979093,22.720227817627883,-0.9806139428358183,>90%
26,20200217,9369.27507356,130,22,5,4,1,1,1,4,168,0,0.1295336787564766,10,168,9.317133333333334,144.93703703703707,59.12243589743589,9.0,25.667459640214815,49.0,3.421126373626365,-86.39811610147056,23.777367846423694,-0.4299311942181132,>90%
27,20200218,9997.15479084,81,29,9,3,2,1,1,5,131,2,0.1761006289308176,11,131,5.38818947368421,114.83571428571427,59.71153846153845,9.5,31.25944559606984,34.0,34.62656835063086,-0.3284596825824908,28.05483311878455,0.14453242696601798,>90%
28,20200219,10385.49523965,61,15,5,3,2,1,0,3,90,14,0.3181818181818182,12,90,1.572542,80.96551724137935,60.655769230769224,10.0,37.21239922128745,28.0,57.983275081400095,0.6378265979195026,26.845870558901403,0.03150840487908613,>90%
29,20200220,10681.04908687,87,17,4,2,2,1,0,2,115,1,0.2176870748299319,13,115,4.306858620689654,102.86666666666667,61.6,10.0,29.691835498962607,42.0,42.46451645457036,0.2464296624162804,21.026026626152877,-1.4731253757341225,>90%
30,20200221,11707.41374933,72,14,8,2,1,2,1,2,102,0,0.2444444444444444,14,102,6.209646428571429,93.14838709677416,62.19615384615384,10.0,26.774077902160858,46.0,32.2484103037767,-0.5504640237768359,14.468547459486205,-4.321888753215201,>90%
31,20200224,12217.27665742,118,21,7,7,2,1,1,3,160,3,0.1959798994974874,15,160,6.861823333333334,140.1875,62.79230769230768,10.0,24.450819485701228,54.0,31.308725435669274,-0.7247588092001698,10.963917690037013,-8.759285232251573,>90%
32,20200225,14148.728335360003,80,36,9,3,5,2,1,3,139,1,0.1524390243902439,16,139,6.649538095238095,124.06363636363633,65.19615384615383,10.0,27.307739016892675,45.0,49.23253462482468,0.5125174809119333,12.038836268409344,-7.140321690158549,>90%
33,20200226,13123.59139606,52,15,9,4,0,3,0,2,85,90,0.3461538461538461,17,85,0.8267152542372882,78.85294117647061,67.6,10.0,30.21144320129402,39.0,59.10324373645287,0.6785286424426575,15.533959262645169,-3.699381449746981,>90%
34,20200227,10503.55869565,70,16,2,2,0,0,1,2,93,22,0.25,18,93,-2.307396969696969,86.14285714285712,69.3264705882353,10.0,23.209729673450692,57.0,37.88096267862573,-0.0823378578795777,13.866011466418227,-4.913740962827984,>90%
35,20200228,11290.83592294,32,6,5,0,1,0,0,2,46,216,0.1785714285714285,19,46,-0.4545652173913045,48.32777777777778,71.0529411764706,10.0,16.86934661733913,81.0,17.457817920304333,-5.415463863312396,15.408326252749301,-3.867498180512486,>90%
36,20200302,10290.06398389,176,11,1,5,0,1,0,2,196,0,0.2373540856031128,20,196,5.9101,171.5972972972973,69.3264705882353,10.0,8.33526628476157,167.0,-1.3327975741578713,305.62240318566853,14.453518137676202,-4.3966099642326,58-90%
37,20200303,11756.96377386,53,37,4,1,4,0,1,2,102,0,0.4574468085106383,21,102,5.56354,95.86315789473683,71.0529411764706,10.0,19.05168592467247,73.0,34.69783801304502,-0.2969107753365432,17.092082611170465,-2.8029303671583885,>90%
38,20200304,9918.28533119,62,8,15,3,1,3,0,2,94,2,0.1454545454545454,22,94,4.771448979591836,90.18717948717949,71.7639705882353,10.0,17.12834812543406,78.0,46.988220059647034,0.4253878958231213,13.97649293969713,-4.723896570131534,>90%
39,20200305,11716.37812895,106,20,4,8,3,1,3,2,147,0,0.1694915254237288,23,147,6.847934375,134.0875,72.475,10.5,13.09024376225567,113.0,29.505356588047142,-0.9318526054720233,11.7226193290996,-7.6158218709092615,58-90%
40,20200306,9572.94217869,67,13,7,3,4,3,1,3,101,0,0.2290076335877862,10,101,4.647524390243902,89.67804878048781,73.33749999999999,10.0,14.7307238680247,98.0,31.87182788230004,-0.6001592437163843,10.055878415754147,-9.839430976933254,>90%
41,20200309,10859.31777719,44,20,6,5,3,1,2,3,84,68,0.2695652173913043,11,84,4.822526470588236,75.50952380952381,74.19999999999999,10.5,14.897997301533168,96.0,26.644643227757044,-1.477045739957386,7.305882619140908,-19.394524216640203,>90%
42,20200310,10812.28532832,104,8,3,1,2,1,1,5,125,21,0.2378048780487804,12,125,-0.0298925,109.05813953488374,74.8547619047619,11.0,3.4254837511303404,272.0,5.1683200774241325,-51.04786003386779,2.3602591295515434,-108.73371387793797,58-90%
43,20200311,9726.51888349,37,23,6,3,1,1,1,5,77,9,0.4577464788732394,13,77,7.99292380952381,70.79318181818181,75.50952380952381,11.0,4.867350046047102,233.0,5.498679592167159,-46.647802642150246,2.17699008272983,-120.72770197818451,58-90%
44,20200312,8373.72999759,33,8,10,3,1,0,0,3,58,13,0.2467532467532467,14,58,1.6467325000000002,55.4,74.8547619047619,11.0,-0.11428854832561122,346.0,2.5609789487125436,-123.17126667904283,-0.07326073831873425,4300.710967005749,58-90%
45,20200313,9663.88816621,53,8,2,3,2,1,0,2,71,22,0.2282608695652173,15,71,1.1221600000000005,66.74565217391309,74.19999999999999,11.0,-8.925249581250265,550.0,-13.966676621860653,48.11213825700653,-1.343748772841468,259.2327939665684,42-58%
46,20200316,9630.32079464,26,14,3,1,1,1,1,0,47,143,0.4835164835164835,7,47,0.1726611111111115,42.16382978723402,73.33749999999999,11.0,-11.983369616456576,611.0,-21.273671640762156,38.65217464695733,-0.29106576101924164,1103.8435597369335,10-42%
47,20200317,8178.201058540001,52,9,6,2,0,1,0,0,70,15,0.2045454545454545,6,70,1.025352380952381,61.437500000000014,72.475,11.0,-20.592006982881806,766.0,-27.13410254314178,34.500278793254296,-8.670420038568725,62.588711691544574,10-42%
48,20200318,8367.50695696,30,11,2,4,2,0,1,0,50,6,0.5495495495495496,7,50,2.299888888888889,44.989795918367356,71.7639705882353,11.0,-23.740867895838782,837.0,-24.232666169679355,36.282952111551054,-11.416610576916074,51.45280261767435,10-42%
49,20200319,8221.768682240001,55,9,5,0,3,2,0,0,74,18,0.1956521739130435,6,74,1.8235750000000004,64.86,71.0529411764706,10.5,-26.580696499897055,894.0,-24.904004853626567,35.89398613225273,-13.429887765275234,45.75093243548659,10-42%
50,20200320,7167.947937690001,76,8,4,3,0,1,1,0,93,6,0.1982758620689655,7,93,1.8616368421052631,80.87058823529412,70.9230614973262,10.0,-26.206333852594884,890.0,-19.674432692525023,40.035433041573235,-16.580371189988348,41.228291173767666,10-42%
51,20200323,6871.934365680001,28,8,3,1,2,0,1,0,43,121,0.2711864406779661,7,43,1.5857764705882351,38.900000000000006,71.0529411764706,10.0,-21.674294357688904,789.0,-5.920034555126388,84.78329473946978,-16.702401429243192,40.99424890066649,10-42%
52,20200324,7123.1787053,68,7,0,1,0,1,0,0,77,11,0.3063063063063063,6,77,-4.716853333333334,66.35471698113207,70.9230614973262,10.0,-23.90171885965833,842.0,-12.510254726890754,51.43862125714095,-20.523291296702208,38.0310974498579,10-42%
53,20200325,7511.37084951,82,10,5,0,1,0,1,0,99,3,0.2265625,7,99,7.1454,86.41296296296296,70.79318181818181,10.0,-24.19254077195582,852.0,-14.432961844643515,47.49080398206882,-23.21794581646661,35.97294749581654,10-42%
54,20200326,6423.29084428,36,10,2,0,0,1,0,1,50,15,0.2753623188405797,8,50,-0.3102176470588235,45.11818181818182,70.9230614973262,10.0,-17.456029017018004,713.0,-1.104781380363788,365.77805216747777,-21.493160287649623,37.151035473665495,10-42%
55,20200327,6337.59678232,36,5,0,0,0,0,0,1,42,10,0.3538461538461538,9,42,-2.178078571428572,38.87678571428571,70.79318181818181,10.0,-19.416890914275744,748.0,-5.026055072427361,95.90544634434939,-22.65715065008436,36.17653266771356,10-42%
56,20200330,6329.64579729,28,6,2,0,0,0,0,0,36,25,0.217391304347826,3,36,3.2208,31.721052631578953,69.1965909090909,10.0,-24.546705621965422,854.0,-20.726902130176583,38.96997713682431,-23.74428189533797,35.9557844561711,10-42%
57,20200331,5616.185611239999,53,6,1,1,0,0,0,0,61,7,0.1973684210526315,4,61,2.5070625,53.11896551724138,67.6,10.0,-28.382730536428557,930.0,-31.128651014476237,31.968254922183945,-27.6212421940145,33.909454021476975,<10%
58,20200401,5847.33127391,26,6,2,1,0,0,0,0,35,13,0.4262295081967213,4,35,4.3702375,31.076271186440685,67.17282608695655,10.0,-28.844360441148574,937.0,-25.007556056258206,35.789485147721194,-28.731480134484556,33.43828705091249,<10%
59,20200402,5976.10066332,78,6,3,2,1,0,0,0,90,5,0.0625,5,90,6.22068888888889,78.13333333333333,66.74565217391309,10.0,-32.84385018815478,972.0,-25.716990479534523,35.374162120699296,-30.419591715334544,32.295620562852456,<10%
60,20200403,5722.201593870001,45,8,2,2,2,1,0,0,60,3,0.2592592592592592,6,60,5.757966666666666,53.442622950819676,67.17282608695655,10.0,-25.709513155722767,878.0,-11.390577698495415,54.465242599630656,-30.79748428831084,32.20384739881974,10-42%
61,20200407,7318.48717063,108,21,6,2,2,2,1,0,142,3,0.1547619047619047,7,142,9.17332,121.5758064516129,66.74565217391309,10.0,-22.7063519892994,814.0,-5.116004297747319,95.01868567854686,-30.774266961329143,32.16239945552811,10-42%
62,20200408,6738.81945921,50,15,8,2,1,0,0,1,77,6,0.23,8,77,1.9982264705882355,68.20317460317459,67.17282608695655,10.0,-6.586364492632347,498.0,20.31800488572101,-3.8725256518456073,-23.533082923250188,36.01453688355917,42-58%
63,20200409,6530.58872812,70,9,9,4,1,0,0,1,94,8,0.2419354838709677,9,94,2.844429629629629,82.575,67.6,9.5,-4.71151981647126,458.0,22.408174835907772,-2.8378850856782005,-24.144623348826308,35.70752009228323,42-58%
64,20200410,6719.39353033,24,3,3,3,1,0,0,1,35,35,0.3518518518518518,10,35,-0.2178750000000002,33.61538461538461,67.90158730158728,10.0,-0.6283230033892062,355.0,15.421013547441433,-7.624595237585185,-23.564541165105666,36.01022974390261,58-90%
65,20200413,4989.20060966,39,7,1,1,0,1,0,0,49,26,0.2222222222222222,6,49,0.0948818181818182,43.5181818181818,67.6,9.5,-8.659302644839267,547.0,-6.652895902985215,77.50803611275612,-23.891130609989382,35.866495587768675,42-58%
66,20200414,5891.99881073,61,7,2,1,1,0,0,0,72,2,0.1818181818181818,5,72,3.00876,63.07014925373134,67.17282608695655,9.0,-11.01358178348087,594.0,-20.61681187604711,39.075722120354776,-23.530909867777584,35.97527314602432,10-42%
67,20200415,6409.33116242,39,8,2,1,1,1,0,0,52,3,0.3066666666666666,6,52,2.917981818181819,46.526470588235284,66.74565217391309,9.0,-12.948016522842341,627.0,-15.354877998607671,45.80660804093562,-19.796344532725204,38.43115294720487,10-42%
68,20200416,5948.69541105,55,13,4,1,1,0,1,0,75,3,0.1379310344827586,7,75,6.148215384615384,66.91304347826087,66.55018457752257,9.0,-13.20355436147994,631.0,-12.455399109251726,51.50018827038518,-18.75412791162717,39.60483427497234,10-42%
