,trade_date,ts_code,industry,name,pct_chg,limit_amount,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit
0,20231201,000151.SZ,贸易行业,中成股份,10.0,,27122687.0,133500,141406,1,1/1,1,U
1,20231201,000526.SZ,教育,学大教育,10.0,,2342010.0,112642,145636,2,1/1,1,U
2,20231201,000628.SZ,工程建设,高新发展,10.0,,101919312.0,144418,144651,2,1/1,1,U
3,20231201,000838.SZ,房地产开发,财信发展,10.0,,75377213.0,102215,102215,0,1/1,1,U
4,20231201,000851.SZ,通信设备,高鸿股份,9.94,,64140285.0,94554,101827,4,1/1,1,U
5,20231201,001234.SZ,纺织服装,泰慕士,10.0,,20447974.0,95239,100515,2,1/1,1,U
6,20231201,002174.SZ,游戏,游族网络,10.01,,93750880.0,93333,111103,2,1/1,1,U
7,20231201,002224.SZ,橡胶制品,三 力 士,9.96,,76859640.0,93909,93909,0,1/1,1,U
8,20231201,002232.SZ,互联网服,启明信息,9.98,,68126243.0,93239,94109,3,1/1,1,U
9,20231201,002269.SZ,纺织服装,美邦服饰,9.94,,45973226.0,100539,100539,0,1/1,1,U
10,20231201,002281.SZ,通信设备,光迅科技,9.99,,62819928.0,131218,142148,3,1/1,1,U
11,20231201,002313.SZ,通信设备,日海智能,9.99,,72746499.0,141257,141257,0,2/2,2,U
12,20231201,002315.SZ,互联网服,焦点科技,10.0,,30850097.0,101151,132351,1,1/1,1,U
13,20231201,002366.SZ,电源设备,融发核电,9.94,,47263577.0,133006,133006,0,1/1,1,U
14,20231201,002374.SZ,包装材料,中锐股份,9.95,,27647729.0,131651,131651,0,1/1,1,U
15,20231201,002575.SZ,房地产服务,群兴玩具,10.08,,4808642.0,100448,135248,13,1/1,1,U
16,20231201,002605.SZ,游戏,姚记科技,10.0,,87703880.0,134712,134712,0,1/1,1,U
17,20231201,002757.SZ,专用设备,南兴股份,9.99,,87782163.0,135103,135103,0,1/1,1,U
18,20231201,002767.SZ,仪器仪表,先锋电子,9.99,,24831287.0,100951,100951,0,2/2,2,U
19,20231201,002858.SZ,文化传媒,力盛体育,10.01,,74979072.0,132342,132342,0,1/1,1,U
20,20231201,300418.SZ,互联网服,昆仑万维,20.0,,356109408.0,135821,135821,0,1/1,1,U
21,20231201,300494.SZ,游戏,盛天网络,20.03,,100850180.0,132115,132115,0,1/1,1,U
22,20231201,300624.SZ,软件开发,万兴科技,20.0,,55385385.0,141633,143457,1,1/1,1,U
