,date,大金融,房地产,计算机,节能环保,汽车产业,基建,电池,光伏,家电,饰品,乡村振兴,电子,电力,医药生物,运输业,油气,有色金属,通信,传媒,化工,电网,机械,商贸零售,假期经济,造纸,军工,美容护理,教育,食品饮料,风电,煤炭,体育产业,钢铁,其他,电商,纺织服饰,核电核能,稀土永磁,氢能源,烟草,人形机器人,家居用品,充换电,储能,两轮车,检测服务,食品医疗
0,20200210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20200211.0,4.0,1.0,4.0,3.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,1.0,4.0,1.0,1,1.0,4.0,4.0,2.0,4,4.0,2,3.0,4,4.0,1.0,4.0,4.0,1.0,1.0,4,1,3.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,4,2.0,4
2,20200212.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,4.0,3.0,1,1.0,4,4.0,3.0,4.0,3.0,1,2.0,4,4.0,1.0,4.0,3.0,2.0,1.0,4,1,4.0,3.0,4,4.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,1.0,4,2.0,4
3,20200213.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,1.0,4.0,4.0,1,1.0,4.0,4.0,2.0,4,3.0,2,2.0,4,4.0,1.0,4.0,4.0,1.0,1.0,4,4,4.0,3.0,4,4.0,4,1.0,2.0,1.0,3.0,4.0,3.0,2.0,4,4.0,4.0
4,20200214.0,4.0,3.0,4.0,4.0,4.0,4,3.0,4.0,4.0,3.0,3.0,1.0,4.0,2.0,1,1.0,4.0,2.0,2.0,4,4.0,2,2.0,4,4.0,1.0,4.0,3.0,1.0,1.0,4.0,3,4.0,2.0,4,4.0,4,4.0,2.0,1.0,3.0,1.0,2.0,4.0,4,3.0,4
5,20200217.0,4.0,4.0,4.0,3.0,2.0,4,4.0,2.0,4.0,4.0,2.0,1.0,4.0,4.0,1,1.0,4.0,4.0,2.0,4.0,1.0,1,2.0,4,4.0,1.0,3.0,3.0,2.0,1.0,4,3,3.0,2.0,4.0,4.0,4.0,3.0,1.0,4.0,3.0,3.0,1.0,2.0,4,4.0,4
6,20200218.0,4.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,1.0,4.0,4.0,1,1.0,4,4.0,4.0,4.0,2.0,1,1.0,4,3.0,1.0,4.0,3.0,4.0,3.0,4.0,2,2.0,1.0,4.0,4.0,4,2.0,1.0,3.0,3.0,4.0,4.0,3.0,4,4.0,4
7,20200219.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,1.0,4.0,4.0,1,1.0,4,4.0,3.0,4.0,3.0,1,1.0,4,2.0,1.0,4.0,4.0,4.0,3.0,4,3,4.0,2.0,4.0,4.0,4,2.0,1.0,4.0,2.0,3.0,4.0,1.0,4,3.0,4
8,20200220.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,1.0,4.0,4.0,1,2.0,4.0,3.0,3.0,4,1.0,1,1.0,4,4.0,1.0,3.0,4.0,4.0,2.0,4,3,4.0,1.0,4.0,4.0,4,2.0,1.0,4.0,2.0,4.0,4.0,1.0,4,4.0,4.0
9,20200221.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,1.0,4.0,4.0,1,1.0,4.0,2.0,4.0,4.0,3.0,1,1.0,4,4.0,1.0,4.0,4.0,4.0,2.0,4.0,3,4.0,1.0,4,4,4,2.0,1.0,4.0,3.0,3.0,4.0,1.0,4,4.0,2.0
10,20200224.0,4.0,1.0,2.0,3.0,4.0,4,3.0,1.0,4.0,3.0,2.0,1.0,3.0,4.0,1,1.0,4,2.0,4.0,4.0,4.0,1,2.0,4,2.0,1.0,3.0,2.0,4.0,4.0,4.0,4,3.0,1.0,4,4.0,4.0,2.0,3.0,4.0,4.0,1.0,4.0,2.0,4,3.0,4.0
11,20200225.0,4.0,1.0,2.0,3.0,4.0,4,3.0,1.0,4.0,3.0,2.0,1.0,2.0,4.0,1,1.0,4.0,4.0,3.0,4.0,3.0,1,2.0,4,1.0,1.0,3.0,4.0,4.0,4,3.0,2,4.0,1.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4,4.0,4.0
12,20200226.0,4.0,1.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,1.0,1.0,4.0,1,1.0,4.0,4.0,2.0,3.0,3.0,1,2.0,4,2.0,1.0,4,4.0,4.0,3.0,4.0,2,4.0,1.0,4.0,3.0,4.0,2.0,1.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0
13,20200227.0,4.0,1.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,4.0,1,1.0,4,4.0,3.0,4.0,2.0,1,4.0,4,3.0,1.0,4.0,3.0,4.0,3.0,4.0,3,4.0,2.0,4.0,4.0,3.0,2.0,1.0,4.0,4.0,2.0,4.0,2.0,4,2.0,4.0
