,date,大金融,地产基建,大科技,公用事业,新能源,大消费,乡村振兴,汽车产业,医药生物,运输业,周期,高端制造,军工,社会服务,其他
0,20200210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,20200211.0,4.0,4.0,4.0,2.0,1.0,3.0,3.0,4,1,4,2.0,2.0,1.0,4.0,3.0
2,20200212.0,4.0,4.0,4,2.0,2.0,3.0,4.0,3,1,4.0,1.0,2.0,1.0,4,4.0
3,20200213.0,3.0,4.0,4.0,2.0,1.0,2.0,4.0,3,1,4.0,1.0,3.0,2.0,4,4.0
4,20200214.0,2.0,4.0,3.0,2.0,1.0,2.0,4.0,3,1,4,1.0,4.0,4.0,4.0,3.0
5,20200217.0,2.0,4.0,4.0,1.0,1.0,2.0,4.0,3,1,4,2.0,3.0,4.0,4.0,3.0
6,20200218.0,4.0,4,4,1.0,3.0,2.0,4.0,4,1,4,1.0,4.0,2.0,4,3.0
7,20200219.0,4,4.0,2.0,1.0,4.0,2.0,4.0,3,1,4.0,1.0,3.0,4.0,4,2.0
8,20200220.0,4.0,4.0,3.0,1.0,4.0,3.0,4.0,3,1,2.0,1.0,2.0,4.0,4,2.0
9,20200221.0,4.0,4,4.0,1.0,3.0,2.0,4.0,4,1,2.0,1.0,3.0,3.0,4.0,2.0
10,20200224.0,4.0,4,4,1.0,3.0,2.0,4.0,4,1,4.0,1.0,2.0,2.0,4.0,3.0
11,20200225.0,4.0,4,4,1.0,3.0,3.0,4.0,4,1,4.0,1.0,2.0,2.0,4,3.0
12,20200226.0,4.0,4,4,2.0,3.0,2.0,4.0,4,1,4.0,1.0,1.0,2.0,4.0,3.0
13,20200227.0,4.0,4.0,4,2.0,3.0,2.0,4.0,4,1,4,1.0,2.0,1.0,4.0,3.0
14,20200228.0,4.0,4.0,4,4.0,1.0,2.0,3.0,1,1,4.0,2.0,3.0,2.0,4.0,3.0
15,20200302.0,4.0,3.0,4,4.0,3.0,2.0,1.0,1,1,4.0,2.0,3.0,2.0,4.0,4.0
16,20200303.0,1.0,3.0,4,3.0,4.0,2.0,1.0,2,1,4,2.0,4.0,4.0,4.0,4.0
17,20200304.0,3.0,2.0,4,4.0,4.0,2.0,1.0,3,1,2.0,1.0,4.0,4,4.0,4.0
18,20200305.0,2.0,3.0,4.0,4.0,4.0,2.0,1.0,2,1,3.0,1.0,4.0,4,4.0,3.0
19,20200306.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,2,1,4.0,1.0,4.0,4,4.0,2.0
20,20200309.0,3.0,4.0,4.0,4.0,2.0,1.0,3.0,1,2,4.0,1.0,4.0,4,3.0,2.0
21,20200310.0,4.0,3.0,4,3.0,4.0,2.0,1.0,2,1,3.0,1.0,4.0,4.0,4.0,2.0
22,20200311.0,3.0,3.0,4,4.0,3.0,4.0,2.0,1,1,4.0,1.0,4.0,4.0,2.0,2.0
23,20200312.0,4.0,2.0,4,3.0,4.0,4,2.0,1,1,4.0,1.0,3.0,2.0,4.0,4.0
24,20200313.0,4.0,3.0,4,2.0,4.0,4.0,1.0,2,1,3.0,1.0,4.0,2.0,4.0,3.0
25,20200316.0,2.0,3.0,4,4.0,2.0,4.0,1.0,2,1,4.0,1.0,4.0,4.0,3.0,3.0
26,20200317.0,2.0,3.0,4,4.0,2.0,3.0,1.0,2,1,4.0,1.0,4.0,4.0,4.0,3.0
27,20200318.0,2.0,3.0,4.0,4.0,2.0,3.0,1.0,2,1,4,1.0,4.0,4.0,4.0,3.0
28,20200319.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,1,1,4,1.0,4.0,2.0,4.0,3.0
29,20200320.0,2.0,3.0,4.0,4.0,2.0,3.0,1.0,1,2,4,1.0,4.0,4.0,4.0,3.0
30,20200323.0,3.0,2.0,4.0,4.0,2.0,3.0,1.0,1,2,4,1.0,4.0,4.0,4.0,3.0
31,20200324.0,2.0,2.0,4.0,4.0,3.0,3.0,1.0,1,2,4,1.0,4.0,4.0,4.0,3.0
32,20200325.0,2.0,3.0,4.0,4.0,2.0,3.0,1.0,1,1,4,2.0,4.0,4.0,4.0,3.0
33,20200326.0,1.0,4.0,4,4.0,1.0,2.0,2.0,1,2,4,3.0,4.0,4.0,4.0,3.0
34,20200327.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,1,2,4,3.0,4.0,4.0,4.0,3.0
35,20200330.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,1,3,4.0,2.0,4.0,4,4,4.0
36,20200331.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,1,3,4.0,2.0,4.0,4,4.0,3.0
37,20200401.0,1.0,4.0,4.0,4.0,1.0,2.0,2.0,1,3,4,2.0,3.0,4,4.0,4.0
38,20200402.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,1,2,4.0,2.0,3.0,4,4.0,4.0
39,20200403.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,1,2,4.0,3.0,3.0,4,4.0,4.0
40,20200407.0,1.0,4.0,4.0,4.0,2.0,1.0,2.0,1,2,4.0,3.0,3.0,4,4.0,3.0
41,20200408.0,1.0,3.0,4.0,3.0,1.0,2.0,2.0,1,2,4.0,3.0,4.0,4,4.0,4.0
42,20200409.0,2.0,4.0,4,3.0,1.0,2.0,2.0,1,1,4.0,3.0,4.0,4.0,4.0,3.0
43,20200410.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,1,2,4,3.0,3.0,4.0,4.0,4.0
44,20200413.0,2.0,3.0,4,4.0,1.0,1.0,2.0,1,4,4.0,3.0,3.0,4.0,4.0,2.0
45,20200414.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,2,3,4.0,2.0,2.0,4,4.0,3.0
46,20200415.0,3.0,3.0,4.0,4.0,1.0,1.0,2.0,1,2,4.0,2.0,3.0,4.0,4,4.0
47,20200416.0,4.0,3.0,4.0,4.0,1.0,2.0,2.0,1,1,2.0,3.0,3.0,4.0,4,4.0
48,20200417.0,3.0,3.0,4.0,4,1.0,2.0,1.0,1,2,3.0,2.0,4.0,4.0,4.0,4.0
49,20200420.0,3.0,4.0,4.0,4.0,1.0,2.0,1.0,1,2,3.0,2.0,3.0,4.0,4,4.0
50,20200421.0,3.0,4.0,4.0,3.0,1.0,2.0,1.0,1,2,4.0,2.0,3.0,4,4.0,4.0
51,20200422.0,2.0,3.0,4.0,4.0,1.0,2.0,1.0,1,2,4.0,3.0,3.0,4,4.0,4.0
52,20200423.0,2.0,3.0,4.0,4.0,1.0,2.0,1.0,1,2,4.0,3.0,3.0,4,4.0,4.0
53,20200424.0,2.0,4.0,3.0,4.0,2.0,1.0,1.0,1,3,4,2.0,3.0,4.0,4.0,4.0
54,20200427.0,1.0,4.0,4.0,4,1.0,3.0,2.0,1,2,4.0,2.0,3.0,4.0,4.0,3.0
55,20200428.0,2.0,4.0,3.0,4,1.0,3.0,2.0,1,1,4.0,2.0,4.0,4.0,4.0,3.0
56,20200429.0,3.0,4.0,2.0,4.0,2.0,4.0,1.0,1,1,4,2.0,3.0,4.0,4.0,3.0
57,20200430.0,4.0,4,2.0,3.0,4.0,4.0,2.0,1,1,4.0,1.0,2.0,3.0,4.0,3.0
58,20200506.0,4.0,4.0,4.0,1.0,3.0,3.0,2.0,2,1,4,1.0,2.0,4.0,4.0,3.0
59,20200507.0,3.0,4.0,4.0,2.0,3.0,3.0,1.0,1,1,4,2.0,2.0,4.0,4.0,4.0
60,20200508.0,2.0,4.0,4.0,3.0,1.0,3.0,2.0,1,1,4.0,2.0,3.0,4,4.0,4.0
61,20200511.0,2.0,4.0,4.0,3.0,2.0,4.0,1.0,1,1,4,3.0,2.0,4.0,4.0,3.0
62,20200512.0,3.0,4.0,3.0,3.0,2.0,4.0,1.0,1,1,4,2.0,2.0,4.0,4.0,4.0
63,20200513.0,4.0,4.0,3.0,4.0,1.0,3.0,2.0,1,1,4,2.0,2.0,4.0,4.0,3.0
64,20200514.0,4.0,4.0,2.0,3.0,1.0,3.0,2.0,1,1,4,2.0,3.0,4.0,4.0,4.0
65,20200515.0,3.0,4.0,1.0,3.0,2.0,2.0,4.0,1,1,4.0,2.0,4.0,4,4.0,3.0
66,20200518.0,2.0,4.0,2.0,3.0,1.0,3.0,2.0,1,1,4,3.0,4.0,4.0,4.0,4.0
67,20200519.0,2.0,4.0,2.0,3.0,1.0,3.0,2.0,1,1,4,3.0,4.0,4.0,4.0,4.0
68,20200520.0,3.0,4.0,2.0,4.0,1.0,3.0,2.0,1,1,4.0,2.0,3.0,4,4.0,4.0
69,20200521.0,4.0,4.0,2.0,4.0,2.0,3.0,1.0,1,1,4,2.0,3.0,4.0,4.0,3.0
70,20200522.0,3.0,4.0,3.0,4.0,1.0,2.0,2.0,1,1,4.0,2.0,3.0,4,4.0,4.0
