,date,大金融,房地产,计算机,节能环保,汽车产业,基建,电池,光伏,家电,饰品,乡村振兴,电子,电力,医药生物,运输业,油气,有色金属,通信,传媒,化工,电网,机械,商贸零售,假期经济,造纸,军工,美容护理,教育,食品饮料,风电,煤炭,体育产业,钢铁,其他,电商,纺织服饰,核电核能,稀土永磁,氢能源,烟草,人形机器人,家居用品,充换电,储能,两轮车,检测服务,食品医疗
0,20200210,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
1,20200211,,1,4,3,4,4,2,4,2,3,4,1,4,1,1,1,4,4,2,,4,2,3,,4,1,4,4,1,1,,1,3,3,4,4,4,2,3,2,4,3,3,2,,2,
2,20200212,,2,4,4,4,4,4,4,4,3,2,1,4,3,1,1,,4,3,4,3,1,2,,4,1,4,3,2,1,,1,4,3,,4,4,4,3,2,2,2,3,1,,2,
3,20200213,,3,3,4,3,4,2,2,4,2,3,1,4,4,1,1,4,4,2,,3,2,2,,4,1,4,4,1,1,,4,4,3,,4,,1,2,1,3,4,3,2,,4,4
4,20200214,,3,4,4,4,,3,4,4,3,3,1,4,2,1,1,4,2,2,,4,2,2,,4,1,4,3,1,1,4,3,4,2,,4,,4,2,1,3,1,2,4,,3,
5,20200217,,4,4,3,2,,4,2,4,4,2,1,4,4,1,1,4,4,2,4,1,1,2,,4,1,3,3,2,1,,3,3,2,4,4,4,3,1,4,3,3,1,2,,4,
6,20200218,,1,2,2,3,4,2,2,4,4,3,1,4,4,1,1,,4,4,4,2,1,1,,3,1,4,3,4,3,4,2,2,1,4,4,,2,1,3,3,4,4,3,,4,
7,20200219,,2,4,4,3,4,2,2,3,4,2,1,4,4,1,1,,4,3,4,3,1,1,,2,1,4,4,4,3,,3,4,2,4,4,,2,1,4,2,3,4,1,,3,
8,20200220,,2,2,3,4,4,3,2,3,3,2,1,4,4,1,2,4,3,3,,1,1,1,,4,1,3,4,4,2,,3,4,1,4,4,,2,1,4,2,4,4,1,,4,4
9,20200221,,3,2,3,2,4,3,2,4,3,2,1,4,4,1,1,4,2,4,4,3,1,1,,4,1,4,4,4,2,4,3,4,1,,,,2,1,4,3,3,4,1,,4,2
10,20200224,,1,2,3,4,,3,1,4,3,2,1,3,4,1,1,,2,4,4,4,1,2,,2,1,3,2,4,4,4,4,3,1,,4,4,2,3,4,4,1,4,2,,3,4
11,20200225,,1,2,3,4,,3,1,4,3,2,1,2,4,1,1,4,4,3,4,3,1,2,,1,1,3,4,4,,3,2,4,1,3,3,4,2,2,4,4,4,4,2,,4,4
12,20200226,,1,3,3,4,4,3,2,4,4,2,1,1,4,1,1,4,4,2,3,3,1,2,,2,1,,4,4,3,4,2,4,1,4,3,4,2,1,4,4,3,4,3,2,2,4
13,20200227,,1,2,2,4,4,3,2,3,4,1,1,1,4,1,1,,4,3,4,2,1,4,,3,1,4,3,4,3,4,3,4,2,4,4,3,2,1,4,4,2,4,2,,2,4
14,20200228,,1,3,2,,1,4,2,4,4,1,1,1,3,1,1,4,4,2,4,3,2,3,,2,1,4,2,3,3,4,3,4,1,4,4,3,2,3,4,4,2,4,4,,4,
15,20200302,,2,1,4,4,1,4,2,3,,2,1,1,4,2,1,4,4,3,4,3,2,3,,1,1,4,3,3,2,4,3,4,1,4,4,3,2,2,4,4,4,4,1,,2,4
16,20200303,,1,4,4,,3,4,3,3,,1,1,2,4,1,1,3,4,1,4,3,1,2,,3,1,3,4,4,3,4,2,4,1,4,4,4,2,3,2,,4,4,2,2,2,4
17,20200304,,1,4,3,4,3,3,3,4,4,3,1,4,2,1,1,4,4,3,4,4,1,2,,2,1,1,4,2,3,4,3,4,1,4,4,4,2,2,1,,4,2,2,,2,4
18,20200305,,1,4,2,4,3,4,4,4,4,2,1,4,1,1,2,4,4,2,,2,1,2,,3,1,3,3,4,2,4,2,3,4,4,3,4,1,4,1,4,3,1,3,,4,2
19,20200306,,1,4,4,,3,4,4,4,,3,1,4,2,1,2,3,4,1,,2,1,3,,4,1,2,3,2,1,4,4,4,4,4,4,,4,3,1,,,2,2,,2,3
20,20200309,,3,4,4,3,2,4,4,3,,2,1,3,3,1,1,3,4,1,,2,1,2,,4,1,3,,2,2,4,4,3,4,4,4,,4,4,1,4,4,2,2,,2,4
21,20200310,,2,4,4,3,1,4,4,4,4,2,1,2,3,1,1,3,4,1,4,3,1,2,,2,1,4,2,4,3,4,4,3,4,4,3,,1,3,1,,4,4,2,,2,3
22,20200311,,1,4,4,4,3,2,,3,4,2,1,3,2,1,1,4,4,1,4,2,1,4,,2,1,4,2,4,2,4,4,3,4,4,3,4,1,3,1,4,4,3,2,,3,2
23,20200312,,3,4,4,3,4,2,4,4,4,3,1,4,1,1,1,3,2,1,4,3,1,4,,2,1,3,3,4,2,4,4,4,4,4,2,4,2,4,1,,3,2,2,,2,1
24,20200313,,3,4,3,4,2,4,,4,4,1,2,4,1,1,1,4,4,1,4,4,1,3,,4,1,3,2,2,3,4,3,4,,4,2,4,3,2,1,,4,3,2,,2,1
25,20200316,,4,4,4,2,4,3,4,3,,2,1,3,4,1,2,3,3,1,,3,2,4,,3,1,2,3,1,1,4,4,4,4,4,2,4,1,4,1,4,2,1,4,,3,2
26,20200317,,3,4,4,4,3,4,4,4,4,2,1,3,4,1,1,3,3,1,4,2,3,4,,3,1,1,2,1,3,4,2,4,4,,2,4,2,4,1,,2,1,4,,3,2
27,20200318,,4,4,4,4,4,4,4,3,4,3,1,1,4,1,2,4,3,1,4,1,3,3,,3,1,1,3,1,2,4,2,4,,4,2,4,2,4,1,3,2,2,2,,2,4
28,20200319,,4,4,3,4,,4,4,3,3,2,1,1,4,1,2,4,4,1,4,1,3,3,,4,1,2,2,1,2,4,4,3,4,4,2,4,2,2,1,4,2,1,3,,4,3
29,20200320,,3,4,3,4,4,4,4,3,4,2,1,1,4,1,1,4,4,1,4,2,2,3,,3,1,1,4,1,2,4,4,3,4,,4,4,2,2,1,4,3,2,2,,2,3
30,20200323,,4,2,4,,2,4,4,3,3,1,1,1,4,1,1,,3,2,4,3,1,4,,2,1,2,4,1,4,4,4,2,4,,3,4,3,4,1,4,3,3,4,,2,2
31,20200324,,2,4,3,4,3,4,4,4,3,1,1,2,4,1,1,,2,2,3,1,2,4,,4,1,1,4,1,4,4,4,3,4,4,2,4,2,3,1,4,2,3,4,,3,2
32,20200325,,4,4,3,4,3,4,4,3,4,2,1,1,4,1,1,4,2,1,4,2,2,2,,2,1,2,4,1,4,4,4,3,,4,4,4,1,3,1,4,3,2,3,,3,2
33,20200326,,4,3,3,4,3,4,4,3,2,2,1,1,4,1,1,4,4,1,4,2,2,3,,4,2,2,3,1,1,4,4,4,,4,2,4,1,4,1,4,2,2,4,,3,3
34,20200327,,4,3,3,,4,4,,2,3,2,1,2,4,1,1,4,4,1,4,2,2,3,,4,1,1,3,1,2,4,3,3,4,3,4,4,2,4,1,4,2,1,3,,4,4
35,20200330,,4,3,3,4,3,4,4,4,4,2,1,1,4,1,1,4,4,1,4,1,2,2,,4,1,2,4,1,2,4,3,2,4,3,3,4,2,3,1,,2,2,4,,4,3
36,20200331,,4,2,3,4,4,4,4,3,3,3,1,1,4,1,1,3,3,1,4,2,2,2,,3,1,2,4,1,2,4,4,2,,,4,4,2,4,1,4,4,1,3,,4,3
37,20200401,,4,4,3,,4,4,4,2,3,3,1,1,4,1,1,4,4,1,3,2,2,3,,3,1,1,4,1,2,4,3,2,,4,4,4,2,3,1,4,4,2,3,,4,2
38,20200402,,4,4,2,4,4,4,4,3,3,2,1,2,,1,1,4,4,1,4,3,2,2,,3,1,3,4,1,2,4,3,2,4,4,4,4,1,2,1,4,3,1,3,,4,2
39,20200403,,4,4,2,,4,,4,3,3,2,1,1,4,1,1,4,4,1,4,4,1,2,,3,1,2,4,1,2,4,3,2,4,4,3,3,2,3,1,4,3,3,2,,4,4
40,20200407,,4,3,2,4,4,4,4,3,3,2,1,1,,1,2,4,4,1,4,4,2,2,,3,1,4,4,1,2,4,3,2,4,4,3,4,1,1,1,,,3,2,,3,4
41,20200408,,4,4,2,,4,4,,3,3,4,1,1,4,1,4,4,4,1,3,2,2,4,,2,1,2,4,1,3,4,3,2,,4,2,3,1,3,1,4,4,2,3,,4,
42,20200409,,4,4,3,4,4,4,4,2,3,2,1,1,4,1,4,4,4,1,4,3,3,4,,1,1,3,3,2,3,4,3,2,4,,1,2,2,3,1,,1,2,2,,4,4
43,20200410,,4,4,2,,4,4,4,3,3,3,1,1,3,1,1,4,4,1,3,1,2,2,,4,2,3,4,1,2,4,4,4,4,4,2,3,2,3,1,,2,1,3,,4,4
44,20200413,,4,4,2,4,4,4,4,4,3,3,1,3,4,1,1,4,4,1,3,1,2,3,,2,1,2,4,1,2,4,3,2,4,4,2,,2,3,1,,3,1,4,,4,
45,20200414,,4,3,1,4,4,4,4,4,4,3,1,4,3,1,1,4,3,1,4,3,2,2,,3,1,1,4,1,2,4,2,2,,3,2,,2,3,1,4,3,2,4,,4,4
46,20200415,,4,3,1,,3,4,4,4,4,2,2,4,3,1,1,4,4,1,,1,2,4,,4,1,2,4,1,1,3,2,3,4,4,2,,2,3,1,4,3,2,3,,4,4
47,20200416,,4,3,1,4,3,,4,4,4,2,1,3,2,1,1,4,4,1,4,2,2,3,,4,1,1,4,1,2,3,3,4,4,,2,4,3,2,1,4,4,2,3,,4,
48,20200417,,4,4,1,4,2,4,4,,4,3,1,4,3,1,1,4,3,1,4,2,2,3,,3,2,2,4,1,1,2,3,4,4,4,2,,2,3,1,4,3,1,4,,4,
49,20200420,,4,4,2,4,3,4,4,4,3,2,1,2,2,1,1,3,4,1,4,2,3,4,,2,1,1,4,1,2,3,4,2,4,4,3,4,4,3,1,,3,1,3,,4,
50,20200421,,4,4,2,4,4,3,4,3,4,2,1,1,3,1,1,4,2,1,4,4,2,3,,3,1,4,4,2,2,3,2,3,4,,4,,2,3,1,4,,1,4,,4,
