,date,大金融,地产基建,大科技,公用事业,新能源,大消费,乡村振兴,汽车产业,医药生物,运输业,周期,高端制造,军工,社会服务,其他
0,20200210,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
1,20200211,4,4,4,2,1,3,3,4,1,,2,2,1,4,3
2,20200212,4,4,,2,2,3,4,3,1,4,1,2,1,,4
3,20200213,3,4,4,2,1,2,4,3,1,4,1,3,2,,4
4,20200214,2,4,3,2,1,2,4,3,1,,1,4,4,4,3
5,20200217,2,4,4,1,1,2,4,3,1,,2,3,4,4,3
6,20200218,4,,,1,3,2,4,4,1,,1,4,2,,3
7,20200219,,4,2,1,4,2,4,3,1,4,1,3,4,,2
8,20200220,4,4,3,1,4,3,4,3,1,2,1,2,4,,2
9,20200221,4,,4,1,3,2,4,4,1,2,1,3,3,4,2
10,20200224,4,,,1,3,2,4,4,1,4,1,2,2,4,3
11,20200225,4,,,1,3,3,4,4,1,4,1,2,2,,3
12,20200226,4,,,2,3,2,4,4,1,4,1,1,2,4,3
13,20200227,4,4,,2,3,2,4,4,1,,1,2,1,4,3
14,20200228,4,4,,4,1,2,3,1,1,4,2,3,2,4,3
15,20200302,4,3,,4,3,2,1,1,1,4,2,3,2,4,4
16,20200303,1,3,,3,4,2,1,2,1,,2,4,4,4,4
17,20200304,3,2,,4,4,2,1,3,1,2,1,4,,4,4
18,20200305,2,3,4,4,4,2,1,2,1,3,1,4,,4,3
19,20200306,3,3,4,4,3,2,1,2,1,4,1,4,,4,2
20,20200309,3,4,4,4,2,1,3,1,2,4,1,4,,3,2
21,20200310,4,3,,3,4,2,1,2,1,3,1,4,4,4,2
22,20200311,3,3,,4,3,4,2,1,1,4,1,4,4,2,2
23,20200312,4,2,,3,4,,2,1,1,4,1,3,2,4,4
24,20200313,4,3,,2,4,4,1,2,1,3,1,4,2,4,3
25,20200316,2,3,,4,2,4,1,2,1,4,1,4,4,3,3
26,20200317,2,3,,4,2,3,1,2,1,4,1,4,4,4,3
27,20200318,2,3,4,4,2,3,1,2,1,,1,4,4,4,3
28,20200319,2,4,4,4,3,3,2,1,1,,1,4,2,4,3
29,20200320,2,3,4,4,2,3,1,1,2,,1,4,4,4,3
30,20200323,3,2,4,4,2,3,1,1,2,,1,4,4,4,3
31,20200324,2,2,4,4,3,3,1,1,2,,1,4,4,4,3
32,20200325,2,3,4,4,2,3,1,1,1,,2,4,4,4,3
33,20200326,1,4,,4,1,2,2,1,2,,3,4,4,4,3
34,20200327,1,3,4,4,1,2,2,1,2,,3,4,4,4,3
35,20200330,1,3,4,4,1,2,2,1,3,4,2,4,,,4
36,20200331,1,3,4,4,1,2,2,1,3,4,2,4,,4,3
37,20200401,1,4,4,4,1,2,2,1,3,,2,3,,4,4
38,20200402,3,3,4,4,2,1,1,1,2,4,2,3,,4,4
39,20200403,1,3,4,4,1,2,2,1,2,4,3,3,,4,4
40,20200407,1,4,4,4,2,1,2,1,2,4,3,3,,4,3
41,20200408,1,3,4,3,1,2,2,1,2,4,3,4,,4,4
42,20200409,2,4,,3,1,2,2,1,1,4,3,4,4,4,3
43,20200410,1,3,4,4,1,2,2,1,2,,3,3,4,4,4
44,20200413,2,3,,4,1,1,2,1,4,4,3,3,4,4,2
45,20200414,3,4,4,4,1,1,1,2,3,4,2,2,,4,3
46,20200415,3,3,4,4,1,1,2,1,2,4,2,3,4,,4
47,20200416,4,3,4,4,1,2,2,1,1,2,3,3,4,,4
48,20200417,3,3,4,,1,2,1,1,2,3,2,4,4,4,4
49,20200420,3,4,4,4,1,2,1,1,2,3,2,3,4,,4
50,20200421,3,4,4,3,1,2,1,1,2,4,2,3,,4,4
51,20200422,2,3,4,4,1,2,1,1,2,4,3,3,,4,4
52,20200423,2,3,4,4,1,2,1,1,2,4,3,3,,4,4
53,20200424,2,4,3,4,2,1,1,1,3,,2,3,4,4,4
54,20200427,1,4,4,,1,3,2,1,2,4,2,3,4,4,3
55,20200428,2,4,3,,1,3,2,1,1,4,2,4,4,4,3
56,20200429,3,4,2,4,2,4,1,1,1,,2,3,4,4,3
57,20200430,4,,2,3,4,4,2,1,1,4,1,2,3,4,3
58,20200506,4,4,4,1,3,3,2,2,1,,1,2,4,4,3
59,20200507,3,4,4,2,3,3,1,1,1,,2,2,4,4,4
60,20200508,2,4,4,3,1,3,2,1,1,4,2,3,,4,4
61,20200511,2,4,4,3,2,4,1,1,1,,3,2,4,4,3
62,20200512,3,4,3,3,2,4,1,1,1,,2,2,4,4,4
63,20200513,4,4,3,4,1,3,2,1,1,,2,2,4,4,3
64,20200514,4,4,2,3,1,3,2,1,1,,2,3,4,4,4
65,20200515,3,4,1,3,2,2,4,1,1,4,2,4,,4,3
66,20200518,2,4,2,3,1,3,2,1,1,,3,4,4,4,4
67,20200519,2,4,2,3,1,3,2,1,1,,3,4,4,4,4
68,20200520,3,4,2,4,1,3,2,1,1,4,2,3,,4,4
69,20200521,4,4,2,4,2,3,1,1,1,,2,3,4,4,3
70,20200522,3,4,3,4,1,2,2,1,1,4,2,3,,4,4
71,20200525,4,4,3,4,1,2,2,1,1,,3,2,4,3,4
72,20200526,4,4,2,4,1,3,2,1,1,,3,2,4,4,3
73,20200527,4,4,3,4,2,2,1,1,1,,3,2,4,4,3
74,20200528,4,4,3,4,3,2,1,1,1,,2,2,4,4,3
75,20200529,4,4,3,4,2,2,1,1,1,,2,3,4,4,3
76,20200601,,4,2,4,2,3,1,1,1,4,2,3,4,4,3
77,20200602,4,4,1,4,2,3,2,1,1,,2,3,3,4,4
78,20200603,4,4,2,4,1,3,3,1,1,,2,2,3,4,4
79,20200604,4,4,2,4,1,3,3,1,1,,2,2,4,4,3
80,20200605,4,4,2,4,1,3,3,1,1,,2,2,4,3,4
81,20200608,4,4,3,4,1,2,3,1,1,,2,2,3,4,4
82,20200609,4,4,2,4,1,2,3,1,1,,2,3,4,3,4
83,20200610,4,4,3,4,1,2,2,1,1,,2,3,3,4,4
84,20200611,,4,3,4,1,3,2,1,1,4,2,2,3,4,4
85,20200612,4,4,3,4,1,3,2,1,1,,2,2,3,4,4
86,20200615,4,4,2,4,1,3,2,1,1,,2,3,3,4,4
87,20200616,4,4,3,4,1,2,2,1,1,,2,3,4,4,3
88,20200617,4,,2,4,1,2,2,1,1,4,3,4,3,4,3
89,20200618,,4,4,4,1,2,2,1,1,4,2,3,3,3,4
90,20200619,4,,3,4,1,2,3,2,1,4,1,2,4,4,3
91,20200622,4,,3,4,1,2,3,2,1,3,1,2,4,4,4
92,20200623,,4,4,4,1,2,3,2,1,3,1,2,4,3,4
93,20200624,4,,4,4,1,2,3,2,1,4,1,2,4,3,3
94,20200629,4,,4,3,1,2,2,2,1,4,1,3,4,4,3
95,20200630,4,,4,4,1,2,2,2,1,3,1,3,4,4,3
96,20200701,4,,4,3,1,2,2,1,1,3,2,4,4,4,3
97,20200702,4,,3,4,2,3,2,1,1,1,2,3,4,4,4
98,20200703,4,4,4,4,2,1,3,2,1,1,2,3,,3,4
99,20200706,4,4,,4,3,1,2,2,1,1,2,3,,4,4
100,20200707,4,,4,4,2,2,3,2,1,1,1,3,,4,4
101,20200708,4,4,4,3,2,2,3,1,1,1,2,3,,4,4
102,20200709,4,4,4,2,2,1,3,2,1,1,3,4,,4,3
103,20200710,,4,4,2,1,2,4,2,1,1,3,3,4,4,3
104,20200713,4,4,,3,1,2,3,1,1,2,2,3,4,4,4
105,20200714,1,4,,3,1,2,3,2,1,3,2,4,4,4,4
106,20200715,2,4,4,4,2,2,3,1,1,3,1,4,,4,3
107,20200716,4,4,4,3,2,2,2,1,1,3,1,4,,4,3
108,20200717,4,4,4,1,3,2,2,1,2,4,1,3,,4,3
109,20200720,4,3,4,1,4,1,2,2,2,4,1,3,,4,3
110,20200721,4,4,,2,3,1,1,2,2,4,1,3,4,4,3
111,20200722,4,4,4,2,1,1,1,2,2,,3,3,4,4,3
112,20200723,4,4,4,1,1,2,2,2,3,4,1,3,4,,3
113,20200724,3,4,4,1,2,1,2,2,3,,1,4,4,4,3
114,20200727,4,4,4,1,2,1,2,3,3,,1,4,,4,2
115,20200728,3,4,4,1,2,1,2,3,2,,1,4,4,4,3
116,20200729,4,4,4,1,2,1,3,2,1,4,2,3,4,,3
117,20200730,4,4,4,2,1,1,3,2,2,,1,4,,4,3
118,20200731,3,4,4,3,1,2,2,2,1,4,1,4,,4,3
119,20200803,3,4,4,2,1,2,2,3,1,4,1,4,,3,4
120,20200804,4,3,4,1,2,1,2,3,1,,2,3,4,4,4
121,20200805,3,4,4,1,2,1,2,2,1,,3,4,4,4,3
122,20200806,4,4,4,1,3,1,2,3,1,,2,3,4,4,2
123,20200807,4,4,4,1,3,1,2,2,1,,2,3,4,4,3
124,20200810,4,4,4,1,3,1,1,2,2,,2,3,4,4,3
125,20200811,4,4,4,1,3,2,1,1,3,,2,3,4,4,2
126,20200812,3,4,4,2,4,1,1,2,3,,3,2,4,4,1
127,20200813,1,4,4,1,4,1,2,2,2,,3,3,4,4,3
128,20200814,2,4,,1,4,2,2,1,1,4,3,3,4,4,3
129,20200817,4,4,,1,4,2,2,1,1,4,2,3,,4,3
130,20200818,3,4,,1,4,2,2,1,1,4,2,3,4,4,3
131,20200819,1,4,,2,4,2,1,1,2,4,3,3,4,4,3
132,20200820,2,3,4,4,4,2,1,1,1,,2,3,4,4,3
133,20200821,3,3,4,4,4,1,1,1,2,,2,2,4,3,4
134,20200824,1,3,4,4,4,3,2,1,1,4,2,2,,4,3
135,20200825,2,3,4,,4,2,1,1,1,4,3,2,3,4,4
136,20200826,4,1,3,,4,2,2,1,1,4,3,2,4,4,3
137,20200827,4,3,3,4,4,2,4,1,1,,1,2,3,4,2
138,20200828,4,4,3,3,2,3,4,1,1,4,1,2,4,,2
139,20200831,4,4,3,4,2,1,3,1,3,4,1,2,4,,2
140,20200901,4,4,4,3,3,2,3,2,2,,1,1,4,4,1
141,20200902,4,3,3,2,4,2,4,3,1,,1,2,4,4,1
142,20200903,4,4,4,2,2,4,3,1,1,,1,3,4,3,2
143,20200904,4,3,4,4,3,3,4,2,1,4,1,2,2,,1
144,20200907,4,3,,4,3,2,4,3,1,4,1,2,2,4,1
145,20200908,4,2,,4,3,2,4,3,1,4,1,3,1,4,2
146,20200909,4,3,,2,4,1,3,3,1,4,2,2,4,4,1
147,20200910,4,4,4,3,4,1,2,1,1,4,2,3,,2,3
148,20200911,,4,4,4,4,2,2,1,1,4,1,2,,3,3
149,20200914,4,3,4,4,3,1,3,2,1,4,1,2,,4,2
150,20200915,4,3,4,4,4,2,3,1,1,4,1,2,,3,2
151,20200916,4,4,4,4,4,2,3,1,1,,1,2,,3,2
152,20200917,4,3,,4,4,2,3,2,1,4,1,1,4,3,2
153,20200918,4,4,4,3,,2,2,2,1,3,1,1,4,4,3
154,20200921,4,4,4,2,4,1,3,2,1,3,1,2,,4,3
155,20200922,4,,4,1,4,2,3,1,1,3,2,2,,4,4
156,20200923,4,,4,2,2,2,3,1,1,4,1,3,4,4,3
157,20200924,4,,4,1,2,2,3,1,1,3,2,3,4,4,4
158,20200925,4,,4,2,2,3,3,1,1,3,1,2,4,4,4
159,20200928,,4,,2,3,2,4,2,1,3,1,1,4,4,4
160,20200929,,4,,1,3,2,4,2,1,4,1,2,4,4,3
161,20200930,,4,4,1,2,3,3,2,1,4,1,2,4,4,3
162,20201009,,4,4,1,3,2,3,4,1,4,1,2,,4,2
163,20201012,,4,,1,3,3,3,4,1,4,1,2,,4,2
164,20201013,,4,4,1,2,3,3,3,1,4,1,2,4,4,2
165,20201014,,4,3,2,1,2,4,2,1,4,1,3,4,4,3
166,20201015,4,4,3,2,2,3,4,2,1,,1,1,4,4,3
167,20201016,,4,4,3,1,2,3,2,1,4,1,2,4,4,3
168,20201019,4,4,3,2,3,1,4,3,1,,1,2,4,4,2
169,20201020,4,4,3,2,3,2,4,3,1,4,1,2,4,,1
170,20201021,,4,3,4,3,2,4,1,1,3,2,2,4,4,1
171,20201022,,4,4,4,3,3,4,1,1,3,1,2,2,4,2
172,20201023,4,,4,4,4,2,3,1,1,3,1,2,3,4,2
173,20201026,4,4,4,3,4,2,3,2,1,,1,2,3,4,1
174,20201027,4,4,3,4,1,3,4,2,1,,1,2,3,4,2
175,20201028,4,4,4,3,3,2,4,2,1,,1,1,3,4,2
176,20201029,4,4,3,4,2,3,3,1,2,,1,1,4,4,2
177,20201030,4,4,3,4,2,2,4,2,1,,1,1,3,4,3
178,20201102,4,,4,4,3,2,3,2,1,4,1,1,3,4,2
179,20201103,4,4,4,4,3,2,3,2,1,,1,2,3,4,1
180,20201104,,4,4,4,3,2,3,2,2,4,1,1,3,4,1
181,20201105,4,4,3,4,3,1,3,2,2,,1,1,4,4,2
182,20201106,4,4,3,4,4,2,3,2,1,,1,1,4,3,2
183,20201109,4,,4,4,3,1,3,1,1,4,2,2,4,2,3
184,20201110,4,4,,4,3,1,3,1,1,4,2,2,4,3,2
185,20201111,4,4,4,4,3,1,2,1,1,4,2,2,,3,3
186,20201112,3,4,,4,4,1,2,1,2,,1,2,3,4,4
187,20201113,4,4,4,3,4,1,2,2,1,,1,2,3,4,3
188,20201116,4,4,4,4,4,1,3,1,2,,1,2,,2,3
189,20201117,4,4,,4,3,1,3,1,2,,2,2,4,1,4
190,20201118,4,,,3,4,1,3,1,3,,1,2,4,2,4
191,20201119,4,4,4,2,4,1,3,1,2,,2,1,4,3,3
192,20201120,4,,3,2,4,1,4,1,2,,2,1,4,3,4
193,20201123,3,4,4,2,4,1,3,1,3,,1,2,4,2,4
194,20201124,4,4,3,2,4,1,3,2,3,,1,1,4,2,4
195,20201125,4,4,3,3,4,1,3,2,2,,1,1,4,2,4
196,20201126,4,4,3,3,,1,4,2,2,3,1,1,4,2,4
197,20201127,2,4,4,3,4,1,4,2,2,3,1,1,,3,4
198,20201130,3,4,4,2,4,1,3,3,1,2,2,1,,4,4
199,20201201,3,4,,3,4,1,3,2,1,1,2,2,4,4,4
200,20201202,3,,4,3,4,1,2,2,1,1,3,2,4,4,4
201,20201203,2,4,,3,3,1,4,2,1,1,3,2,4,4,4
202,20201204,2,,,2,2,1,4,1,1,4,3,3,4,4,4
203,20201207,1,4,4,2,3,1,3,1,2,4,2,3,4,,4
204,20201208,1,,4,2,3,2,3,1,1,4,2,3,4,4,4
