,date,成交量,1,2,3,4,5,6,7,7+,涨停数,跌停数,炸板率,连板高度,连板股数,连板溢价
0,20231229,8413.145660119999,42,14,5,0,0,0,1,1,63,1,0.11267605633802817,8,63,0.10002057455436882
1,20231228,9024.38016488,48,7,0,1,0,1,1,0,58,8,0.2054794520547945,7,58,0.09992650508714591
2,20231227,6526.63933273,22,2,3,0,1,1,0,0,29,17,0.30952380952380953,6,29,0.1000970783583357
3,20231226,6280.2217579,28,7,0,3,1,0,0,0,39,9,0.1875,5,39,0.10006487847791137
4,20231225,6233.60458921,26,2,4,1,0,0,0,0,33,22,0.26666666666666666,4,33,0.11420284963614513
5,20231222,7924.3438427,12,5,2,1,0,0,0,0,20,49,0.5348837209302325,4,20,0.11282277130862903
6,20231221,7550.96264901,27,5,2,1,1,0,0,0,36,4,0.28,5,36,0.10002915938744288
7,20231220,6817.78514869,21,6,3,1,0,0,0,0,31,9,0.3111111111111111,4,31,0.10984506576803259
8,20231219,6582.7156773199995,18,5,2,1,0,0,0,0,26,13,0.4222222222222222,4,26,0.12507446292227264
9,20231218,7090.4852773,26,7,3,0,0,0,0,0,36,12,0.29411764705882354,3,36,0.10011011428536902
10,20231215,7483.410876730001,29,7,5,2,1,0,0,0,44,3,0.2413793103448276,5,44,0.09993853845354735
11,20231214,7578.07113341,26,6,3,3,0,1,0,0,39,9,0.3157894736842105,6,39,0.10024650282047605
12,20231213,7846.739952079999,23,6,4,0,1,2,0,0,36,1,0.34545454545454546,6,36,0.09991555450193988
13,20231212,7980.4128011699995,33,6,1,1,2,0,0,0,43,1,0.24561403508771928,5,43,0.10003135353754089
14,20231211,9226.968552219998,33,2,2,2,0,0,0,0,39,1,0.2909090909090909,4,39,0.09987934612354821
15,20231208,9758.80081026,24,6,3,0,0,0,0,0,33,13,0.34,3,33,0.1000221106790749
16,20231207,8339.8892705,24,10,2,0,2,1,0,0,39,16,0.2777777777777778,6,39,0.10022441259940779
17,20231206,8314.76134551,28,5,1,2,1,0,1,0,38,4,0.4492753623188406,7,38,0.10010030793705427
18,20231205,8383.137331169999,24,6,4,2,0,1,0,2,39,2,0.30357142857142855,9,39,0.09994211821286794
19,20231204,8589.40600461,37,10,3,1,1,0,1,1,54,2,0.19402985074626866,8,54,0.10585856326125395
20,20231201,8445.61534197,40,5,1,2,0,1,1,0,50,2,0.2537313432835821,7,50,0.09992415807121306
21,20231130,7853.828882309999,20,2,3,0,1,1,0,0,27,1,0.325,6,27,0.10003577687500795
