,date,成交量,1,2,3,4,5,6,7,7+,涨停数,跌停数,炸板率,连板高度,连板股数,连板溢价,l_emo,l_bar,h_bar,weighted_emo,weighted_emo_R,short,short_R,long,long_R,position
20,20200207,9292.91416275,88,33,21,13,9,5,1,3,173,2,0.2345132743362832,13,173,4.541983962264151,66.21071428571429,22.4625,10.0,26.661763674501874,0.9940179461615155,66.99369830827068,0.9990029910269193,31.913290565922722,0.9282153539381854,>90%
21,20200210,8854.683446800002,113,8,7,7,5,5,1,1,147,27,0.2461538461538461,8,147,0.803535294117647,40.30681818181819,22.725,10.0,26.856098327310374,0.9950149551345963,56.29495129870131,0.996011964107677,33.372284884104545,0.9391824526420738,>90%
22,20200211,7858.225014869999,39,8,2,1,1,3,2,0,56,34,0.282051282051282,7,56,-1.6421499999999996,20.764130434782608,22.9125,10.0,21.820669787734,0.9820538384845463,35.886760304912485,0.9411764705882353,33.0530641483186,0.9371884346959123,>90%
23,20200212,7898.71803017,97,5,3,2,1,1,2,1,112,0,0.125,8,112,6.45205294117647,31.566666666666663,22.725,9.5,19.253226000458323,0.9690927218344965,28.28661149538867,0.843469591226321,33.51009391022335,0.9401794616151545,>90%
24,20200213,8708.81539846,35,14,2,1,1,1,1,2,57,2,0.3522727272727273,8,57,4.012013333333333,23.975,22.9125,9.0,15.490664246270487,0.9411764705882353,26.719827898550726,0.8075772681954138,33.859843910223354,0.942173479561316,>90%
25,20200214,8128.053922689999,47,7,4,1,1,1,1,3,65,2,0.3010752688172043,9,65,4.6825090909090905,26.973076923076924,23.1,9.0,12.820403154578042,0.9242273180458624,26.387932692307693,0.7936191425722832,34.4508086538131,0.9461615154536391,>90%
26,20200217,9369.27507356,130,22,5,4,1,1,1,4,168,0,0.1295336787564766,10,168,9.317133333333334,45.42407407407407,23.5375,9.0,14.40201080814452,0.9322033898305084,34.36503917378917,0.9351944167497508,36.20034288972968,0.9561316051844466,>90%
27,20200218,9997.15479084,81,29,9,3,2,1,1,5,131,2,0.1761006289308176,11,131,5.38818947368421,45.221428571428575,23.975,9.5,17.177517002640155,0.9551345962113659,42.570300162800166,0.9720837487537388,37.12564646115826,0.959122632103689,>90%
28,20200219,10385.49523965,61,15,5,3,2,1,0,3,90,14,0.3181818181818182,12,90,1.572542,32.93103448275862,24.54642857142857,10.0,16.52213371257538,0.9471585244267199,40.02840790914067,0.9651046859421735,36.64683359566118,0.9571286141575274,>90%
29,20200220,10681.04908687,87,17,4,2,2,1,0,2,115,1,0.2176870748299319,13,115,4.306858620689654,36.633333333333326,25.117857142857144,10.0,16.359862157479906,0.9451645064805583,36.34807060755337,0.9451645064805583,35.45831276232785,0.9511465603190429,>90%
30,20200221,11707.41374933,72,14,8,2,1,2,1,2,102,0,0.2444444444444444,14,102,6.209646428571429,38.946774193548386,25.308928571428574,10.0,16.838403443890943,0.9511465603190429,37.06120087133852,0.9511465603190429,34.808846748502965,0.9491525423728814,>90%
31,20200224,12217.27665742,118,21,7,7,2,1,1,3,160,3,0.1959798994974874,15,160,6.861823333333334,48.599999999999994,25.5,10.0,19.114662208880734,0.9661016949152542,42.702379032258065,0.9740777666999003,36.01253993032115,0.9541375872382851,>90%
32,20200225,14148.728335360003,80,36,9,3,5,2,1,3,139,1,0.1524390243902439,16,139,6.649538095238095,51.877272727272725,25.51544117647059,10.0,22.054952771637293,0.9830508474576272,48.54485703812317,0.9860418743768694,38.106116910406286,0.9621136590229312,>90%
33,20200226,13123.59139606,52,15,9,4,0,3,0,2,85,90,0.3461538461538461,17,85,0.8267152542372882,36.28088235294118,25.530882352941173,10.0,21.58269508506989,0.9800598205383848,44.75721590909092,0.9790628115653041,38.62523980956594,0.9651046859421735,>90%
34,20200227,10503.55869565,70,16,2,2,0,0,1,2,93,22,0.25,18,93,-2.307396969696969,33.385714285714286,25.715441176470584,10.0,20.00163580863205,0.9740777666999003,37.38989448051949,0.9521435692921236,39.406974928613565,0.9690927218344965,>90%
35,20200228,11290.83592294,32,6,5,0,1,0,0,2,46,216,0.1785714285714285,19,46,-0.4545652173913045,27.455555555555556,25.9,10.0,17.914465808014622,0.9611166500498505,31.299672035480864,0.8933200398803589,39.71896424485287,0.9750747756729811,>90%
36,20200302,10290.06398389,176,11,1,5,0,1,0,2,196,0,0.2373540856031128,20,196,5.9101,47.01959459459459,26.279807692307692,10.0,19.222463159147264,0.9680957128614157,36.659795956670955,0.9481555333998006,40.38170225492176,0.9810568295114656,>90%
37,20200303,11756.96377386,53,37,4,1,4,0,1,2,102,0,0.4574468085106383,21,102,5.56354,44.42631578947369,26.65961538461539,10.0,20.055051682998435,0.9750747756729811,42.98284524656235,0.9760717846460618,40.50263197505543,0.9840478564307079,>90%
38,20200304,9918.28533119,62,8,15,3,1,3,0,2,94,2,0.1454545454545454,22,94,4.771448979591836,45.32435897435897,26.816346153846155,10.0,21.37551907719993,0.9790628115653041,45.196975963818076,0.9810568295114656,40.91036658055127,0.9900299102691924,>90%
39,20200305,11716.37812895,106,20,4,8,3,1,3,2,147,0,0.1694915254237288,23,147,6.847934375,54.974999999999994,26.973076923076924,10.5,23.74637898218351,0.9850448654037887,49.29117493252362,0.9890329012961117,41.226304080551266,0.9920239282153539,>90%
40,20200306,9572.94217869,67,13,7,3,4,3,1,3,101,0,0.2290076335877862,10,101,4.647524390243902,38.506097560975604,27.21431623931624,10.0,23.78205090346874,0.9860418743768694,46.52812030956848,0.9820538384845463,40.444596672155186,0.9830508474576272,>90%
41,20200309,10859.31777719,44,20,6,5,3,1,2,3,84,68,0.2695652173913043,11,84,4.822526470588236,36.219047619047615,27.455555555555556,10.5,21.82027900734685,0.9810568295114656,40.00443670150987,0.9641076769690927,39.77504012453613,0.9780658025922233,>90%
42,20200310,10812.28532832,104,8,3,1,2,1,1,5,125,21,0.2378048780487804,12,125,-0.0298925,36.116279069767444,29.51111111111111,11.0,20.471332564903516,0.9770687936191426,36.51842847689274,0.9461615154536391,39.48797949741048,0.9700897308075773,>90%
43,20200311,9726.51888349,37,23,6,3,1,1,1,5,77,9,0.4577464788732394,13,77,7.99292380952381,36.28636363636363,31.566666666666663,11.0,19.595386568321228,0.9720837487537388,36.203980292962854,0.9441674975074775,39.618017821831145,0.9740777666999003,>90%
44,20200312,8373.72999759,33,8,10,3,1,0,0,3,58,13,0.2467532467532467,14,58,1.6467325000000002,29.424999999999997,32.24885057471264,11.0,17.09071109475359,0.9541375872382851,33.34477140591966,0.9202392821535393,39.58966067897401,0.9710867397806581,>90%
45,20200313,9663.88816621,53,8,2,3,2,1,0,2,71,22,0.2282608695652173,15,71,1.1221600000000005,29.416304347826085,31.566666666666663,11.0,15.64733222011424,0.942173479561316,30.450508893280634,0.8843469591226321,39.74508312880678,0.9770687936191426,>90%
46,20200316,9630.32079464,26,14,3,1,1,1,1,0,47,143,0.4835164835164835,7,47,0.1726611111111115,17.127659574468083,30.49583333333333,11.0,11.502772645314238,0.9142572283150548,24.194934666975023,0.7198404785643071,37.62179465416193,0.9601196410767697,>90%
47,20200317,8178.201058540001,52,9,6,2,0,1,0,0,70,15,0.2045454545454545,6,70,1.025352380952381,20.099999999999998,29.424999999999997,11.0,8.685589188429155,0.8773678963110668,20.23420097132285,0.5244267198404786,35.83627115792133,0.9531405782652044,58-90%
48,20200318,8367.50695696,30,11,2,4,2,0,1,0,50,6,0.5495495495495496,7,50,2.299888888888889,18.804591836734694,29.42065217391304,11.0,6.21633738032461,0.810568295114656,19.103600466782456,0.46660019940179465,34.25440446396258,0.9451645064805583,58-90%
49,20200319,8221.768682240001,55,9,5,0,3,2,0,0,74,18,0.1956521739130435,6,74,1.8235750000000004,22.27,29.416304347826085,10.5,4.983203821266152,0.765702891326022,20.471701530612247,0.53938185443669,32.38768779729592,0.9332003988035893,58-90%
50,20200320,7167.947937690001,76,8,4,3,0,1,1,0,93,6,0.1982758620689655,7,93,1.8616368421052631,24.241176470588236,28.43592995169082,10.0,4.372541200401251,0.7347956131605184,22.58793877551021,0.6480558325024925,31.34136241084708,0.922233300099701,58-90%
51,20200323,6871.934365680001,28,8,3,1,2,0,1,0,43,121,0.2711864406779661,7,43,1.5857764705882351,15.650000000000002,27.455555555555556,10.0,2.9296027143685386,0.6689930209371884,20.29425,0.5294117647058824,29.509630267989937,0.9032901296111665,58-90%
52,20200324,7123.1787053,68,7,0,1,0,1,0,0,77,11,0.3063063063063063,6,77,-4.716853333333334,16.18443396226415,27.21431623931624,10.0,1.175934379893139,0.5732801595214356,17.1658109045505,0.37587238285144564,27.631144172114553,0.8723828514456631,42-58%
53,20200325,7511.37084951,82,10,5,0,1,0,1,0,99,3,0.2265625,7,99,7.1454,25.125925925925927,26.973076923076924,10.0,1.8851726539046538,0.6041874376869392,19.904402952480787,0.5134596211365903,26.822163173401933,0.8504486540378864,58-90%
54,20200326,6423.29084428,36,10,2,0,0,1,0,1,50,15,0.2753623188405797,8,50,-0.3102176470588235,16.186363636363634,26.816346153846155,10.0,1.073081009699802,0.5672981056829511,19.985388158312688,0.518444666001994,25.75344239418115,0.7926221335992024,42-58%
55,20200327,6337.59678232,36,5,0,0,0,0,0,1,42,10,0.3538461538461538,9,42,-2.178078571428572,13.32857142857143,26.65961538461539,10.0,-0.715132490562862,0.45064805583250245,16.312736291486292,0.3270189431704885,24.641002349322626,0.7397806580259223,42-58%
56,20200330,6329.64579729,28,6,2,0,0,0,0,0,36,25,0.217391304347826,3,36,3.2208,9.442105263157895,26.279807692307692,10.0,-2.6937655088031036,0.35593220338983056,12.105492139439509,0.12861415752741778,23.261771448699164,0.6729810568295115,10-42%
57,20200331,5616.185611239999,53,6,1,1,0,0,0,0,61,7,0.1973684210526315,4,61,2.5070625,14.012931034482758,25.9,10.0,-3.4508523176489163,0.32602193419740777,11.967676140782991,0.12263210368893318,22.151485264488638,0.6161515453639083,10-42%
58,20200401,5847.33127391,26,6,2,1,0,0,0,0,35,13,0.4262295081967213,4,35,4.3702375,9.952542372881357,25.715441176470584,10.0,-5.01165695082495,0.2442671984047856,11.601641987603434,0.11365902293120633,20.7804180820746,0.5234297108673978,10-42%
59,20200402,5976.10066332,78,6,3,2,1,0,0,0,90,5,0.0625,5,90,6.22068888888889,21.516666666666666,25.530882352941173,10.0,-3.9874089989896646,0.292123629112662,15.476353496980323,0.288135593220339,19.826413915407937,0.46859421734795614,10-42%
60,20200403,5722.201593870001,45,8,2,2,2,1,0,0,60,3,0.2592592592592592,6,60,5.757966666666666,19.060245901639348,25.51544117647059,10.0,-3.453576145299941,0.325024925224327,18.73806919746226,0.45264207377866406,19.058511119173488,0.43270189431704886,10-42%
61,20200407,7318.48717063,108,21,6,2,2,2,1,0,142,3,0.1547619047619047,7,142,9.17332,35.27661290322581,25.5,10.0,0.5376247575548909,0.5324027916251246,26.32066499206769,0.7916251246261217,19.91579174513355,0.4735792622133599,42-58%
62,20200408,6738.81945921,50,15,8,2,1,0,0,1,77,6,0.23,8,77,1.9982264705882355,25.081349206349202,25.51544117647059,10.0,1.9991042930580498,0.6121635094715853,28.51117078181528,0.8504486540378864,20.012692359873377,0.47856430707876374,58-90%
63,20200409,6530.58872812,70,9,9,4,1,0,0,1,94,8,0.2419354838709677,9,94,2.844429629629629,28.174999999999997,25.5,9.5,3.6669937056726596,0.6989032901296112,27.925440348182285,0.8374875373878365,19.926838193206713,0.47457627118644063,58-90%
64,20200410,6719.39353033,24,3,3,3,1,0,0,1,35,35,0.3518518518518518,10,35,-0.2178750000000002,16.305769230769233,25.51544117647059,10.0,2.2271143373460163,0.6271186440677966,22.666529304029304,0.6510468594217348,19.571432598801117,0.4616151545363908,58-90%
65,20200413,4989.20060966,39,7,1,1,0,1,0,0,49,26,0.2222222222222222,6,49,0.0948818181818182,13.586363636363636,25.5,9.5,0.8589538421754916,0.551345962113659,16.93040646853147,0.36590229312063804,19.147709878586546,0.43668993020937186,42-58%
66,20200414,5891.99881073,61,7,2,1,1,0,0,0,72,2,0.1818181818181818,5,72,3.00876,18.090298507462684,25.312962962962963,9.0,-0.41359882152809035,0.47058823529411764,15.908446795741572,0.3070787637088733,19.563351145237615,0.46061814556331004,42-58%
67,20200415,6409.33116242,39,8,2,1,1,1,0,0,52,3,0.3066666666666666,6,52,2.917981818181819,16.227941176470587,25.125925925925927,9.0,-0.8940161669228068,0.44067796610169496,16.623206411126187,0.3529411764705882,19.556544983980007,0.45862412761714855,42-58%
68,20200416,5948.69541105,55,13,4,1,1,0,1,0,75,3,0.1379310344827586,7,75,6.148215384615384,23.326086956521742,25.121891534391537,9.0,-0.5986298550008122,0.4596211365902293,19.524006732641144,0.4895314057826521,20.282695606037972,0.4955134596211366,42-58%
69,20200417,7401.48145533,37,6,3,1,0,0,0,1,48,3,0.4418604651162791,8,48,0.1525100000000001,16.53214285714286,25.117857142857144,9.0,-0.9891599499457939,0.4336989032901296,19.37393884727804,0.4795613160518445,19.90060096318083,0.47258225324027914,42-58%
70,20200420,6171.61471638,58,10,3,2,1,0,0,0,74,2,0.2210526315789473,5,74,6.560636363636363,20.311971830985915,25.099603174603175,9.0,-0.7435596992774656,0.4476570289132602,19.15766178593299,0.46859421734795614,19.84887550241236,0.47058823529411764,42-58%
71,20200421,6491.792390729999,44,11,0,3,0,1,0,0,59,4,0.5902777777777778,6,59,4.513225,17.072222222222223,25.081349206349202,9.0,-1.3690413802386452,0.4177467597208375,18.368103901184888,0.43668993020937186,19.068789032878307,0.4336989032901296,10-42%
72,20200422,6058.194389749999,74,7,3,1,0,0,1,0,86,4,0.596244131455399,7,86,5.428193333333335,20.66267123287671,24.66126283846872,9.0,-0.8032504062561614,0.44466600199401796,19.08412549306493,0.4656031904287139,18.993100049013893,0.4317048853439681,42-58%
