,date,>100,80-100,60-80,50-60,40-50,30-40,20-30,all,bar,sump,w_sump
0,20200207,9,12,26,25,44,83,142,199,199.00000000000003,0.0,0.0
1,20200210,7,10,25,24,46,73,139,185,192.00000000000003,0.5,0.5
2,20200211,5,10,16,17,39,66,115,153,183.8,0.1666666666666666,0.3333333333333333
3,20200212,8,12,13,23,36,74,111,166,175.55,1.625,0.75
4,20200213,5,10,26,17,29,79,138,166,167.56,2.3,0.8
5,20200214,5,10,14,20,23,64,119,136,166.3,1.0833333333333337,0.5
6,20200217,8,7,24,25,25,79,159,168,166.31428571428577,3.428571428571429,0.8571428571428572
7,20200218,9,11,19,21,36,87,152,183,167.5,4.0625,0.875
8,20200219,6,9,19,21,30,77,134,162,166.53333333333336,2.2222222222222223,0.5555555555555556
9,20200220,8,7,17,19,39,73,162,163,166.42000000000002,2.6500000000000004,0.7
10,20200221,8,8,21,27,40,92,168,196,166.92727272727274,5.0,0.9090909090909092
11,20200224,10,5,42,28,50,111,198,246,168.98333333333332,5.5,0.9166666666666666
12,20200225,10,13,28,32,55,108,203,246,170.84615384615387,6.26923076923077,0.9230769230769232
13,20200226,9,7,14,20,53,71,158,174,173.12857142857143,2.571428571428571,0.5
14,20200227,6,9,13,16,34,64,175,142,170.20000000000002,1.5666666666666669,0.2666666666666667
15,20200228,8,9,9,16,23,57,144,122,168.6875,0.875,0.1875
16,20200302,14,9,37,61,98,218,455,437,172.56470588235294,5.970588235294119,0.8823529411764706
17,20200303,16,12,45,46,114,279,596,512,178.53333333333336,6.444444444444445,0.9444444444444444
18,20200304,13,13,35,36,98,231,543,426,183.22105263157897,6.052631578947367,0.8421052631578947
19,20200305,17,7,27,36,78,204,521,369,188.31,4.9,0.65
20,20200306,19,7,16,33,68,157,416,300,192.6,4.2142857142857135,0.6190476190476191
21,20200309,10,12,13,16,41,75,249,167,188.41818181818184,2.886363636363636,0.5
22,20200310,12,9,20,19,55,130,339,245,192.1652173913044,3.9565217391304346,0.5652173913043479
23,20200311,10,10,16,20,31,94,245,181,190.96666666666667,3.1666666666666665,0.5
24,20200312,10,7,24,19,33,92,226,185,191.432,2.9600000000000004,0.48
25,20200313,8,10,19,17,41,100,221,195,192.00000000000003,3.5384615384615383,0.5769230769230769
26,20200316,7,4,13,8,20,41,96,93,190.22962962962964,0.0925925925925925,0.037037037037037
27,20200317,7,2,8,11,19,37,77,84,188.4642857142857,0.0357142857142857,0.0357142857142857
28,20200318,7,3,7,9,15,30,60,71,186.67586206896556,0.0689655172413792,0.0689655172413793
29,20200319,6,2,7,9,14,25,64,63,182.9,0.1166666666666668,0.1333333333333333
30,20200320,5,2,5,9,17,24,83,62,179.18064516129033,0.2580645161290323,0.1935483870967742
31,20200323,2,3,3,8,7,19,53,42,175.79375000000002,0.125,0.15625
32,20200324,2,2,2,4,8,24,48,42,172.46666666666667,0.1363636363636362,0.1818181818181817
33,20200325,3,4,1,6,9,31,70,54,171.26470588235293,0.6029411764705883,0.2941176470588235
34,20200326,3,2,2,5,7,21,70,40,170.0285714285714,0.2999999999999999,0.2571428571428571
35,20200327,3,2,0,8,18,33,93,64,168.97222222222223,0.9583333333333331,0.3611111111111111
36,20200330,3,2,2,5,9,22,57,43,167.83783783783787,0.4864864864864864,0.2702702702702703
37,20200331,3,1,1,5,13,14,58,37,167.11052631578949,0.3026315789473685,0.2631578947368421
38,20200401,0,2,4,2,8,13,35,29,166.3794871794872,0.358974358974359,0.282051282051282
39,20200402,0,2,3,3,4,11,30,23,164.45499999999998,0.3125,0.275
40,20200403,2,0,2,4,7,11,36,26,162.58048780487806,0.3048780487804879,0.2682926829268293
41,20200407,3,0,4,7,11,23,59,48,161.64285714285714,1.1428571428571428,0.4761904761904761
42,20200408,2,0,5,6,5,17,56,35,160.66976744186047,0.7674418604651164,0.3953488372093023
43,20200409,2,0,2,9,9,13,69,35,156.52272727272728,1.0454545454545454,0.4545454545454546
44,20200410,2,0,2,6,8,17,53,35,152.4,0.7888888888888889,0.4
45,20200413,1,3,1,6,7,26,64,44,147.5391304347826,1.4456521739130437,0.5217391304347826
46,20200414,2,3,5,8,9,39,128,66,142.79148936170213,2.436170212765957,0.6170212765957447
47,20200415,3,3,6,5,12,43,130,72,140.08333333333334,2.4479166666666665,0.625
48,20200416,3,4,3,6,21,61,151,98,137.49387755102043,2.836734693877551,0.6734693877551021
49,20200417,3,2,5,9,16,56,142,91,131.684,2.7299999999999995,0.6599999999999999
50,20200420,2,4,6,8,21,50,126,91,125.88235294117648,2.9019607843137254,0.7058823529411764
51,20200421,1,4,12,9,30,67,211,123,126.21153846153848,3.75,0.7884615384615384
52,20200422,3,4,14,7,27,61,189,116,125.71698113207547,3.5000000000000004,0.7547169811320755
53,20200423,2,6,11,8,19,42,128,88,123.12222222222223,2.935185185185185,0.6851851851851851
54,20200424,1,4,6,7,13,34,102,65,120.45090909090912,2.3363636363636364,0.5272727272727273
55,20200427,1,2,4,7,14,41,108,69,113.00357142857143,2.1160714285714284,0.4821428571428571
56,20200428,0,0,9,3,21,46,135,79,105.6,2.3596491228070176,0.543859649122807
57,20200429,0,1,4,7,12,45,116,69,103.36896551724138,2.0689655172413794,0.4655172413793104
58,20200430,0,2,5,9,15,52,179,83,101.19322033898304,3.0,0.728813559322034
59,20200506,1,1,7,5,12,52,166,78,100.20666666666668,2.475,0.5833333333333333
60,20200507,1,1,4,9,22,56,180,93,100.8754098360656,3.1311475409836067,0.7377049180327868
61,20200508,1,1,4,1,15,43,123,65,99.85806451612903,1.8306451612903225,0.4354838709677419
62,20200511,2,2,4,2,15,46,114,71,98.86666666666667,2.063492063492064,0.4444444444444444
63,20200512,1,3,4,5,13,43,109,69,98.675,2.1640625,0.484375
64,20200513,3,0,9,10,22,85,163,129,98.67384615384616,3.761538461538462,0.8307692307692307
65,20200514,2,4,8,12,24,80,186,130,99.47575757575758,4.333333333333333,0.8787878787878788
66,20200515,3,3,5,9,27,57,145,104,100.2,3.544776119402985,0.791044776119403
67,20200518,4,2,8,8,30,63,138,115,100.15882352941176,3.4558823529411766,0.75
68,20200519,5,4,7,15,33,67,164,131,100.16521739130437,4.253623188405797,0.8695652173913043
69,20200520,5,2,13,11,22,55,135,108,102.1057142857143,3.4857142857142858,0.7428571428571429
70,20200521,5,1,10,9,14,43,104,82,99.97464788732395,2.5281690140845074,0.5492957746478873
71,20200522,4,3,7,9,13,46,92,82,99.84722222222224,2.6875,0.5833333333333333
72,20200525,2,3,6,6,14,43,84,74,99.70136986301372,2.308219178082192,0.4657534246575342
73,20200526,3,2,9,14,18,54,108,100,99.62972972972972,3.2162162162162167,0.7162162162162162
74,20200527,5,6,9,12,20,53,128,105,99.57333333333334,3.7666666666666666,0.8266666666666667
75,20200528,4,2,13,6,20,46,145,91,99.48157894736843,3.111842105263157,0.6710526315789473
76,20200529,7,7,7,12,28,74,191,135,99.50649350649353,4.597402597402597,0.8961038961038961
77,20200601,10,8,13,24,49,94,256,198,101.69230769230772,5.7756410256410255,0.935897435897436
78,20200602,9,5,18,9,31,74,192,146,103.74177215189874,4.778481012658228,0.8860759493670887
79,20200603,10,8,11,9,28,62,134,128,104.545,4.09375,0.825
80,20200604,9,9,13,15,23,62,156,131,105.35555555555555,4.499999999999999,0.8641975308641976
81,20200605,8,4,12,15,25,56,128,120,106.93902439024392,3.853658536585367,0.7804878048780488
82,20200608,4,7,8,12,23,49,129,103,107.68192771084338,3.650602409638554,0.7349397590361446
83,20200609,4,9,7,14,21,41,138,96,106.40952380952382,3.5595238095238098,0.7261904761904762
84,20200610,4,4,10,11,21,45,121,95,105.1364705882353,3.294117647058824,0.6470588235294117
85,20200611,6,5,8,15,24,45,120,103,106.28372093023256,3.5406976744186047,0.7093023255813953
86,20200612,8,4,11,13,24,52,128,112,107.4528735632184,3.7413793103448274,0.7471264367816092
87,20200615,7,4,11,19,29,50,153,120,107.4409090909091,4.221590909090909,0.8409090909090909
