,date,成交量,1,2,3,4,5,6,7,7+,涨停数,跌停数,炸板率,连板高度,连板股数,连板溢价
0,20200102,7512.654711229999,60,12,8,2,0,0,0,2,84,1,0.2075471698113207,10,84,0.0
1,20200103,6952.15233655,37,13,4,4,1,0,0,1,60,2,0.2682926829268293,11,60,1.2217749999999998
2,20200106,8038.776032719999,57,10,6,1,2,1,0,0,77,3,0.2666666666666666,6,77,4.349991304347826
3,20200107,7321.13506035,57,17,3,2,0,2,1,0,82,1,0.2545454545454545,7,82,3.144615
4,20200108,7790.30560645,34,11,5,1,0,0,1,0,52,3,0.2972972972972973,7,52,2.6914360000000004
5,20200109,7064.162355959999,55,1,4,2,1,0,0,1,64,0,0.2470588235294117,8,64,3.9479888888888897
6,20200110,6399.895671880001,29,9,0,1,1,0,0,1,41,5,0.3050847457627119,9,41,0.9339333333333334
7,20200113,6677.631785309999,58,4,3,0,0,1,0,1,67,4,0.141025641025641,10,67,3.510733333333334
8,20200114,7017.17262105,40,10,2,1,0,0,1,1,55,5,0.3529411764705882,11,55,6.869066666666666
9,20200115,6108.95667418,31,4,3,0,1,0,0,2,41,7,0.2264150943396226,12,41,3.0590533333333334
10,20200116,6125.95135543,28,6,1,2,0,1,0,1,39,1,0.2352941176470588,9,39,2.89962
11,20200117,6072.53291096,24,6,2,1,2,0,1,1,37,10,0.2884615384615384,10,37,5.760054545454546
12,20200120,6789.686171740001,55,4,3,1,1,1,0,2,67,9,0.2023809523809523,11,67,7.431723076923077
13,20200121,6902.97854653,29,20,1,2,1,1,1,1,56,20,0.1884057971014492,9,56,5.947225
14,20200122,7077.522975509999,40,3,3,1,1,1,1,1,51,23,0.2916666666666667,10,51,1.0050629629629628
15,20200123,8086.16588052,14,5,2,2,1,0,1,1,26,72,0.3333333333333333,8,26,5.196590909090909
16,20200203,5188.997525,64,7,2,2,2,1,0,1,79,1000,0.0919540229885057,9,79,4.377850000000001
17,20200204,9096.22051739,118,20,6,1,1,2,1,1,150,21,0.1712707182320442,10,150,8.185513333333333
18,20200205,8719.13844218,101,40,16,6,1,1,1,2,168,0,0.2911392405063291,11,168,9.300375
19,20200206,9130.75205969,134,52,27,16,6,1,1,3,240,1,0.1489361702127659,12,240,8.971574626865673
20,20200207,9292.91416275,88,33,21,13,9,5,1,3,173,2,0.2345132743362832,13,173,4.541983962264151
21,20200210,8854.683446800002,113,8,7,7,5,5,1,1,147,27,0.2461538461538461,8,147,0.803535294117647
22,20200211,7858.225014869999,39,8,2,1,1,3,2,0,56,34,0.282051282051282,7,56,-1.6421499999999996
23,20200212,7898.71803017,97,5,3,2,1,1,2,1,112,0,0.125,8,112,6.45205294117647
24,20200213,8708.81539846,35,14,2,1,1,1,1,2,57,2,0.3522727272727273,8,57,4.012013333333333
25,20200214,8128.053922689999,47,7,4,1,1,1,1,3,65,2,0.3010752688172043,9,65,4.6825090909090905
26,20200217,9369.27507356,130,22,5,4,1,1,1,4,168,0,0.1295336787564766,10,168,9.317133333333334
27,20200218,9997.15479084,81,29,9,3,2,1,1,5,131,2,0.1761006289308176,11,131,5.38818947368421
28,20200219,10385.49523965,61,15,5,3,2,1,0,3,90,14,0.3181818181818182,12,90,1.572542
29,20200220,10681.04908687,87,17,4,2,2,1,0,2,115,1,0.2176870748299319,13,115,4.306858620689654
30,20200221,11707.41374933,72,14,8,2,1,2,1,2,102,0,0.2444444444444444,14,102,6.209646428571429
31,20200224,12217.27665742,118,21,7,7,2,1,1,3,160,3,0.1959798994974874,15,160,6.861823333333334
32,20200225,14148.728335360003,80,36,9,3,5,2,1,3,139,1,0.1524390243902439,16,139,6.649538095238095
33,20200226,13123.59139606,52,15,9,4,0,3,0,2,85,90,0.3461538461538461,17,85,0.8267152542372882
34,20200227,10503.55869565,70,16,2,2,0,0,1,2,93,22,0.25,18,93,-2.307396969696969
35,20200228,11290.83592294,32,6,5,0,1,0,0,2,46,216,0.1785714285714285,19,46,-0.4545652173913045
