,date,成交量,上涨数,涨幅>2%,涨幅中位,涨幅均值,新高,新低,>MA20,客观指数
0,20231130,7729.86438788,1490,298,-0.6207,-0.5330260433070866,133,213,2055,1000
1,20231201,8339.40605195,2974,814,0.3231,0.6247020665223382,156,153,2291,1473.901033261169
2,20231204,8510.06811943,2226,454,-0.11505,0.010761358267716526,190,218,2295,1397.0454648578607
3,20231205,8223.6249109,418,147,-1.8051,-1.7761641999606375,85,439,1305,-1104.548989648551
4,20231206,8168.85023326,3171,584,0.3704,0.5102452380952381,152,193,1571,-1590.9068936370024
5,20231207,8199.38304735,1724,403,-0.4626,-0.3041561811023622,110,290,1416,-980.9880465097375
6,20231208,9615.79246854,1316,425,-1.139,-0.8387006885697423,88,423,1020,-10.937678979240356
7,20231211,9112.94153583,3913,1095,0.9656,1.0663483375959082,144,178,1345,-22.050078288752935
8,20231212,7873.351715549999,2920,601,0.2392,0.4584036789297659,159,142,1603,-29.741186156214635
9,20231213,7683.868069470001,1360,293,-0.7042,-0.5934716224188791,116,410,1471,-10.44403951021616
10,20231214,7368.2914307,1907,280,-0.2531,-0.2541693079040503,117,353,1475,-7.795069163181206
11,20231215,7330.18790673,1498,260,-0.48195,-0.41268440817931584,91,347,1297,-4.30820061942148
12,20231218,6925.46624963,647,192,-1.4701499999999998,-1.3354374360990957,65,809,924,1.7353161456001427
13,20231219,6426.508882360001,2664,468,0.1116,0.19083493999606535,70,506,943,1.997726262784534
14,20231220,6634.99857385,985,215,-1.0016500000000002,-0.9754058788832088,73,854,772,0.022918036665761414
15,20231221,7323.67363083,3533,707,0.5882,0.6986012190326387,85,244,1018,0.037663515425429665
16,20231222,7793.290518399999,948,241,-1.30285,-1.2887544632324026,54,590,718,-0.011140951913353321
17,20231225,6079.88438389,1809,414,-0.44235,-0.33854307904050335,66,684,713,-0.00679100579182299
18,20231226,6097.91712745,662,214,-1.4368,-1.285825766509434,51,1094,617,0.002453677882843047
19,20231227,6367.08491688,3668,905,0.7321,0.7790810964826096,69,358,754,0.004307653699547989
20,20231228,8842.445994650001,4282,2243,1.7442,1.9376393432953207,80,25,1559,0.012237698133691704
21,20231229,8224.5895759,4101,1622,1.2461,1.5473483395559047,188,28,2493,0.029330386899465447
