,date,sum,>100,80-100,60-80,50-60,40-50,30-40,20-30
0,20231229,84,0,3,6,7,6,18,44
1,20231228,69,1,1,6,3,10,14,34
2,20231227,61,2,1,1,11,10,12,24
3,20231226,60,2,2,4,6,8,12,26
4,20231225,68,3,0,4,5,9,10,37
5,20231222,56,0,4,2,4,5,10,31
6,20231221,71,1,2,6,5,6,9,42
7,20231220,71,0,4,6,3,13,7,38
8,20231219,62,1,5,5,4,8,11,28
9,20231218,70,2,5,5,4,7,9,38
10,20231215,91,4,4,5,4,5,23,46
11,20231214,105,4,2,5,10,3,20,61
12,20231213,112,5,3,6,6,3,21,68
13,20231212,123,3,2,6,5,11,22,74
14,20231211,116,3,3,7,2,7,15,79
15,20231208,114,2,3,6,4,7,11,81
16,20231207,121,3,4,4,3,9,18,80
17,20231206,114,4,2,4,3,14,24,63
18,20231205,109,2,6,3,6,11,19,62
19,20231204,155,2,3,7,11,10,28,94
20,20231201,205,1,7,6,12,13,32,134
21,20231130,219,0,7,8,6,25,42,131
