,date,成交量,1,2,3,4,5,6,7,7+,涨停数,跌停数,炸板率,连板高度,连板股数,连板溢价,l_emo,l_bar,h_bar,weighted_emo,weighted_emo_R,short,short_R,long,long_R,position
0,20200207,9292.91416275,88,33,21,13,9,5,1,3,173,2,0.2345132743362832,13,173,4.541983962264151,66.21071428571429,22.725,10.0,26.52506482883347,0.9940711462450593,66.99369830827068,0.9990118577075099,31.913290565922722,0.9288537549407114,>90%
1,20200210,8854.683446800002,113,8,7,7,5,5,1,1,147,27,0.2461538461538461,8,147,0.803535294117647,40.30681818181819,22.9125,10.0,26.71939948164197,0.9950592885375494,56.29495129870131,0.9960474308300395,33.372284884104545,0.9397233201581028,>90%
2,20200211,7858.225014869999,39,8,2,1,1,3,2,0,56,34,0.282051282051282,7,56,-1.6421499999999996,20.764130434782608,22.725,10.0,21.6839709420656,0.9822134387351779,35.886760304912485,0.941699604743083,33.0530641483186,0.9377470355731226,>90%
3,20200212,7898.71803017,97,5,3,2,1,1,2,1,112,0,0.125,8,112,6.45205294117647,31.566666666666663,22.9125,9.5,19.11652715478992,0.9693675889328063,28.28661149538867,0.8448616600790514,33.51009391022335,0.9407114624505929,>90%
4,20200213,8708.81539846,35,14,2,1,1,1,1,2,57,2,0.3522727272727273,8,57,4.012013333333333,23.975,23.1,9.0,15.353965400602085,0.941699604743083,26.719827898550726,0.8092885375494071,33.859843910223354,0.9426877470355731,>90%
5,20200214,8128.053922689999,47,7,4,1,1,1,1,3,65,2,0.3010752688172043,9,65,4.6825090909090905,26.973076923076924,23.5375,9.0,12.68370430890964,0.924901185770751,26.387932692307693,0.7954545454545454,34.4508086538131,0.9466403162055336,>90%
6,20200217,9369.27507356,130,22,5,4,1,1,1,4,168,0,0.1295336787564766,10,168,9.317133333333334,45.42407407407407,23.975,9.0,14.265311962476119,0.9328063241106719,34.36503917378917,0.9357707509881423,36.20034288972968,0.9565217391304348,>90%
7,20200218,9997.15479084,81,29,9,3,2,1,1,5,131,2,0.1761006289308176,11,131,5.38818947368421,45.221428571428575,24.54642857142857,9.5,17.040818156971753,0.9555335968379447,42.570300162800166,0.9723320158102767,37.12564646115826,0.9594861660079052,>90%
8,20200219,10385.49523965,61,15,5,3,2,1,0,3,90,14,0.3181818181818182,12,90,1.572542,32.93103448275862,25.117857142857144,10.0,16.385434866906976,0.9476284584980237,40.02840790914067,0.9654150197628458,36.64683359566118,0.9575098814229249,>90%
9,20200220,10681.04908687,87,17,4,2,2,1,0,2,115,1,0.2176870748299319,13,115,4.306858620689654,36.633333333333326,25.308928571428574,10.0,16.223163311811504,0.9456521739130435,36.34807060755337,0.9456521739130435,35.45831276232785,0.9515810276679841,>90%
10,20200221,11707.41374933,72,14,8,2,1,2,1,2,102,0,0.2444444444444444,14,102,6.209646428571429,38.946774193548386,25.5,10.0,16.70170459822254,0.9515810276679841,37.06120087133852,0.9515810276679841,34.808846748502965,0.9496047430830039,>90%
11,20200224,12217.27665742,118,21,7,7,2,1,1,3,160,3,0.1959798994974874,15,160,6.861823333333334,48.599999999999994,25.51544117647059,10.0,18.977963363212332,0.9664031620553359,42.702379032258065,0.974308300395257,36.01253993032115,0.9545454545454546,>90%
12,20200225,14148.728335360003,80,36,9,3,5,2,1,3,139,1,0.1524390243902439,16,139,6.649538095238095,51.877272727272725,25.530882352941173,10.0,21.91825392596889,0.983201581027668,48.54485703812317,0.9861660079051383,38.106116910406286,0.9624505928853755,>90%
13,20200226,13123.59139606,52,15,9,4,0,3,0,2,85,90,0.3461538461538461,17,85,0.8267152542372882,36.28088235294118,25.715441176470584,10.0,21.445996239401488,0.9802371541501976,44.75721590909092,0.9792490118577075,38.62523980956594,0.9654150197628458,>90%
14,20200227,10503.55869565,70,16,2,2,0,0,1,2,93,22,0.25,18,93,-2.307396969696969,33.385714285714286,25.9,10.0,19.864936962963647,0.974308300395257,37.38989448051949,0.9525691699604744,39.406974928613565,0.9693675889328063,>90%
15,20200228,11290.83592294,32,6,5,0,1,0,0,2,46,216,0.1785714285714285,19,46,-0.4545652173913045,27.455555555555556,26.279807692307692,10.0,17.77776696234622,0.9614624505928854,31.299672035480864,0.8942687747035574,39.71896424485287,0.9752964426877471,>90%
16,20200302,10290.06398389,176,11,1,5,0,1,0,2,196,0,0.2373540856031128,20,196,5.9101,47.01959459459459,26.65961538461539,10.0,19.08576431347886,0.9683794466403162,36.659795956670955,0.9486166007905138,40.38170225492176,0.9812252964426877,>90%
17,20200303,11756.96377386,53,37,4,1,4,0,1,2,102,0,0.4574468085106383,21,102,5.56354,44.42631578947369,26.816346153846155,10.0,19.918352837330033,0.9752964426877471,42.98284524656235,0.9762845849802372,40.50263197505543,0.9841897233201581,>90%
18,20200304,9918.28533119,62,8,15,3,1,3,0,2,94,2,0.1454545454545454,22,94,4.771448979591836,45.32435897435897,26.973076923076924,10.0,21.238820231531527,0.9792490118577075,45.196975963818076,0.9812252964426877,40.91036658055127,0.9901185770750988,>90%
19,20200305,11716.37812895,106,20,4,8,3,1,3,2,147,0,0.1694915254237288,23,147,6.847934375,54.974999999999994,27.21431623931624,10.5,23.60968013651511,0.9851778656126482,49.29117493252362,0.9891304347826086,41.226304080551266,0.9920948616600791,>90%
20,20200306,9572.94217869,67,13,7,3,4,3,1,3,101,0,0.2290076335877862,10,101,4.647524390243902,38.506097560975604,27.455555555555556,10.0,23.645352057800338,0.9861660079051383,46.52812030956848,0.9822134387351779,40.444596672155186,0.983201581027668,>90%
21,20200309,10859.31777719,44,20,6,5,3,1,2,3,84,68,0.2695652173913043,11,84,4.822526470588236,36.219047619047615,29.51111111111111,10.5,21.68358016167845,0.9812252964426877,40.00443670150987,0.9644268774703557,39.77504012453613,0.9782608695652174,>90%
22,20200310,10812.28532832,104,8,3,1,2,1,1,5,125,21,0.2378048780487804,12,125,-0.0298925,36.116279069767444,31.566666666666663,11.0,20.334633719235114,0.9772727272727273,36.51842847689274,0.9466403162055336,39.48797949741048,0.9703557312252964,>90%
23,20200311,9726.51888349,37,23,6,3,1,1,1,5,77,9,0.4577464788732394,13,77,7.99292380952381,36.28636363636363,32.24885057471264,11.0,19.458687722652826,0.9723320158102767,36.203980292962854,0.9446640316205533,39.618017821831145,0.974308300395257,>90%
24,20200312,8373.72999759,33,8,10,3,1,0,0,3,58,13,0.2467532467532467,14,58,1.6467325000000002,29.424999999999997,31.566666666666663,11.0,16.95401224908519,0.9545454545454546,33.34477140591966,0.9209486166007905,39.58966067897401,0.9713438735177866,>90%
25,20200313,9663.88816621,53,8,2,3,2,1,0,2,71,22,0.2282608695652173,15,71,1.1221600000000005,29.416304347826085,30.49583333333333,11.0,15.510633374445838,0.9426877470355731,30.450508893280634,0.8853754940711462,39.74508312880678,0.9772727272727273,>90%
26,20200316,9630.32079464,26,14,3,1,1,1,1,0,47,143,0.4835164835164835,7,47,0.1726611111111115,17.127659574468083,29.424999999999997,11.0,11.366073799645836,0.9150197628458498,24.194934666975023,0.7213438735177866,37.62179465416193,0.9604743083003953,>90%
27,20200317,8178.201058540001,52,9,6,2,0,1,0,0,70,15,0.2045454545454545,6,70,1.025352380952381,20.099999999999998,29.42065217391304,11.0,8.548890342760753,0.8784584980237155,20.23420097132285,0.5227272727272727,35.83627115792133,0.9535573122529645,58-90%
28,20200318,8367.50695696,30,11,2,4,2,0,1,0,50,6,0.5495495495495496,7,50,2.299888888888889,18.804591836734694,29.416304347826085,11.0,6.079638534656208,0.8122529644268774,19.103600466782456,0.4634387351778656,34.25440446396258,0.9456521739130435,58-90%
29,20200319,8221.768682240001,55,9,5,0,3,2,0,0,74,18,0.1956521739130435,6,74,1.8235750000000004,22.27,28.43592995169082,10.5,4.84650497559775,0.766798418972332,20.471701530612247,0.5375494071146245,32.38768779729592,0.9337944664031621,58-90%
30,20200320,7167.947937690001,76,8,4,3,0,1,1,0,93,6,0.1982758620689655,7,93,1.8616368421052631,24.241176470588236,27.455555555555556,10.0,4.235842354732849,0.7361660079051384,22.58793877551021,0.6482213438735178,31.34136241084708,0.9229249011857708,58-90%
31,20200323,6871.934365680001,28,8,3,1,2,0,1,0,43,121,0.2711864406779661,7,43,1.5857764705882351,15.650000000000002,27.21431623931624,10.0,2.7929038687001366,0.6679841897233201,20.29425,0.5276679841897234,29.509630267989937,0.9041501976284585,58-90%
32,20200324,7123.1787053,68,7,0,1,0,1,0,0,77,11,0.3063063063063063,6,77,-4.716853333333334,16.18443396226415,26.973076923076924,10.0,1.039235534224737,0.5681818181818181,17.1658109045505,0.37252964426877466,27.631144172114553,0.8735177865612649,42-58%
33,20200325,7511.37084951,82,10,5,0,1,0,1,0,99,3,0.2265625,7,99,7.1454,25.125925925925927,26.816346153846155,10.0,1.7484738082362519,0.599802371541502,19.904402952480787,0.5118577075098814,26.822163173401933,0.8517786561264822,58-90%
