,date,大金融,房地产,计算机,节能环保,汽车产业,基建,电池,光伏,家电,饰品,乡村振兴,电子,电力,医药生物,运输业,油气,有色金属,通信,传媒,化工,电网,机械,商贸零售,假期经济,造纸,军工,美容护理,教育,食品饮料,风电,煤炭,体育产业,钢铁,其他,电商,纺织服饰,核电核能,稀土永磁,氢能源,烟草,人形机器人,家居用品,充换电,储能,两轮车,检测服务,食品医疗
0,20230207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20230208,1,1,4,4,1,1,1,1,2,2,1,3,3,3,2,2,4,4,1,3,2,2,4,3,4,3,3,2,4,2,4,4,4,4,4,4,4,4,,,,,,,,,
2,20230209,1,1,1,2,1,3,1,2,1,3,3,2,4,1,2,3,1,2,4,4,2,3,4,4,3,4,4,4,4,4,4,4,3,2,4,4,,,,,,,,,,,
3,20230210,1,2,4,1,1,4,1,2,1,2,1,2,,2,4,3,4,3,2,3,4,3,3,4,4,3,4,4,1,2,3,4,1,4,2,4,4,4,4,,,,,,,,
4,20230213,1,3,1,3,1,4,2,2,1,2,1,2,2,4,4,3,1,4,3,4,1,4,3,4,1,2,3,3,2,2,4,4,4,4,4,4,4,4,,,,,,,,,
5,20230214,1,1,1,4,2,4,1,1,1,2,1,4,2,4,1,3,4,1,3,2,3,3,2,3,3,4,3,3,4,4,4,4,2,3,4,4,4,2,4,4,4,,,,,,
6,20230215,1,2,1,3,1,1,4,1,1,2,2,1,3,4,4,3,2,2,3,3,4,3,4,4,4,4,4,4,4,1,4,3,2,2,4,3,2,4,4,,4,,,,,,
7,20230216,2,1,4,1,1,1,2,1,1,1,2,1,2,1,4,3,3,4,2,3,2,3,4,4,2,3,4,4,4,2,4,3,3,4,4,4,4,4,4,3,4,,,,,,
8,20230217,1,1,1,3,1,2,1,3,2,2,1,2,1,3,4,3,1,4,1,3,3,4,3,2,4,3,4,4,2,4,4,2,2,4,4,4,4,4,4,4,4,,,,,,
9,20230220,2,1,1,1,1,2,1,1,4,2,4,1,2,4,2,3,2,4,3,2,4,2,4,3,4,1,3,4,4,3,4,3,1,4,4,4,,4,3,3,4,4,,,,,
10,20230221,1,1,2,3,4,1,4,2,1,1,1,1,4,3,3,2,1,3,1,4,4,4,2,4,2,3,4,3,4,2,2,3,3,4,2,4,4,4,4,4,4,,,,,,
11,20230222,1,1,4,3,4,1,3,1,1,3,4,2,1,1,3,1,4,3,4,2,3,2,1,2,3,2,2,4,2,4,4,2,3,3,4,4,4,,4,4,4,4,4,,,,
12,20230223,4,4,1,1,1,3,1,3,3,2,1,3,2,1,2,2,2,1,3,4,2,4,4,2,4,4,4,2,3,4,4,1,4,4,4,,3,4,4,,,,,,,,
13,20230224,1,1,4,3,1,1,2,2,3,2,2,1,4,1,2,4,1,3,2,3,4,4,4,2,4,3,4,4,4,2,4,4,4,1,3,3,4,4,,,,,,,,,
14,20230227,2,1,2,3,1,3,2,1,2,1,4,1,,3,1,1,2,1,4,4,4,3,4,4,3,3,4,3,2,4,4,4,2,4,4,4,3,4,2,4,4,,,,,,
15,20230228,1,1,1,2,1,1,1,2,3,3,4,1,3,2,2,1,1,3,2,4,4,2,2,4,4,3,4,4,4,3,4,4,3,3,2,4,4,4,4,4,4,,,,,,
16,20230301,1,1,1,3,2,1,1,3,1,2,2,3,4,1,2,4,2,1,2,4,4,3,4,,4,4,4,3,3,4,2,4,2,4,4,4,4,3,4,,,,,,,,
