,date,大金融,地产基建,大科技,公用事业,新能源,大消费,乡村振兴,汽车产业,医药生物,运输业,周期,高端制造,军工,社会服务,其他
0,20230207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,20230208,1,1,2,1,2,3,4,3,4,4,2,3,4,4,
2,20230209,1,1,1,3,2,2,3,2,4,4,3,4,4,,4
3,20230210,1,3,3,1,3,4,2,4,2,4,1,4,2,,4
4,20230213,3,1,2,1,,4,3,1,3,4,2,2,4,4,4
5,20230214,1,3,2,1,2,3,3,1,4,2,4,4,,4,4
6,20230215,1,4,3,2,3,1,2,1,2,3,4,4,4,4,
7,20230216,2,1,3,2,1,3,1,2,4,3,4,4,4,4,
8,20230217,1,1,3,4,2,2,1,4,3,3,2,,4,4,4
9,20230220,3,1,1,2,2,1,4,2,3,3,4,4,,4,4
10,20230221,1,3,4,2,2,1,2,1,3,4,3,4,4,4,
11,20230222,3,1,2,2,2,1,4,3,1,4,3,4,4,4,
12,20230223,2,2,1,1,1,,3,4,4,2,4,4,3,4,
13,20230224,3,1,2,1,1,2,2,4,3,4,4,3,,4,4
14,20230227,4,1,1,2,3,4,1,2,3,2,,3,4,4,4
15,20230228,1,2,1,4,1,2,2,4,4,3,3,3,4,,4
16,20230301,1,1,4,2,2,4,1,3,2,3,4,3,4,,4
17,20230302,1,2,4,2,4,1,1,4,3,2,4,3,3,4,
18,20230303,4,3,1,1,3,2,2,4,1,3,2,,4,4,4
19,20230306,3,2,4,1,1,1,3,2,4,2,,4,3,4,4
20,20230307,1,4,3,2,4,2,2,4,3,3,1,1,4,4,
21,20230308,1,3,4,2,1,2,1,4,2,3,3,4,,4,4
22,20230309,3,1,1,4,2,1,2,2,4,4,3,3,4,4,
23,20230310,3,1,2,3,1,1,2,4,4,4,2,4,3,4,
24,20230313,2,1,2,1,1,2,4,3,3,3,4,4,4,4,
25,20230314,3,1,1,,2,2,2,1,3,4,4,4,4,4,
26,20230315,3,2,2,3,2,1,1,1,3,4,4,4,4,4,
27,20230316,2,2,3,4,1,1,2,1,4,3,3,4,4,4,
28,20230317,2,1,4,1,1,3,4,4,2,2,4,4,,3,
29,20230320,1,1,1,2,4,4,2,4,3,4,2,3,4,3,
30,20230321,2,1,4,3,1,4,3,2,2,1,4,4,3,4,
31,20230322,1,3,2,1,3,3,4,2,1,4,2,4,4,4,
32,20230323,1,3,1,3,4,2,1,2,3,4,2,4,4,4,
33,20230324,1,1,1,4,3,4,2,2,2,3,,4,4,4,
34,20230327,1,1,1,2,4,4,2,3,4,2,3,3,4,4,
35,20230328,1,1,3,2,2,3,4,1,2,3,4,4,4,4,
36,20230329,1,3,3,2,2,2,1,4,1,3,4,4,4,4,
37,20230330,3,1,1,4,1,2,2,3,2,3,4,4,4,,4
38,20230331,2,1,2,1,3,1,2,4,4,4,,4,3,4,
39,20230403,4,1,1,1,2,3,2,4,2,4,3,3,4,4,
40,20230404,1,1,2,1,3,2,4,3,4,4,2,3,4,4,
41,20230406,1,4,4,1,4,3,3,3,1,2,2,4,2,4,
42,20230407,4,4,4,1,3,1,1,2,4,2,3,,3,2,4
43,20230410,2,2,2,1,4,1,3,3,1,4,4,,4,4,
44,20230411,4,4,2,4,1,3,1,2,4,2,4,1,3,,
45,20230412,4,2,1,2,3,1,4,3,3,2,4,1,4,4,
46,20230413,4,1,3,3,2,2,3,1,1,2,4,4,4,4,
47,20230414,1,,1,1,2,3,4,4,3,4,2,4,2,3,4
48,20230417,2,4,2,1,1,1,4,4,3,2,3,4,,4,
49,20230418,1,1,2,2,4,2,1,3,3,,3,4,4,4,4
50,20230419,1,2,1,3,4,4,1,2,2,3,3,4,4,,4
51,20230420,2,3,1,2,1,1,4,4,4,2,3,4,3,4,
52,20230421,1,1,2,1,3,2,4,3,4,3,2,4,4,4,
53,20230424,2,1,1,2,3,4,4,4,1,2,3,4,4,,
54,20230425,1,1,1,2,2,3,3,4,4,4,3,2,4,4,
55,20230426,1,1,3,3,2,2,4,1,4,4,2,3,4,4,
56,20230427,2,1,3,3,2,1,1,3,4,4,2,4,4,4,
57,20230428,1,3,2,1,4,4,1,3,2,3,4,4,2,,4
58,20230504,1,2,2,3,1,1,3,4,2,4,3,4,4,,4
59,20230505,1,2,1,4,1,3,2,4,4,2,3,4,3,4,
60,20230508,1,2,3,2,3,1,1,4,2,3,4,4,4,,4
61,20230509,1,2,1,3,2,1,4,3,2,4,4,4,4,,
62,20230510,4,3,4,1,1,1,3,2,2,3,2,4,4,,4
63,20230511,2,1,2,1,3,4,1,3,4,3,2,4,4,4,
64,20230512,2,1,3,2,4,4,2,1,3,4,3,1,4,,4
65,20230515,1,2,3,4,4,2,1,3,2,4,1,3,4,4,
66,20230516,2,4,1,1,3,2,4,2,1,4,3,4,3,,4
67,20230517,1,2,2,1,3,2,3,1,4,4,3,4,4,4,
68,20230518,4,,2,1,3,4,1,2,1,4,2,4,3,4,
69,20230519,3,1,1,4,2,2,4,1,3,2,3,4,4,4,
70,20230522,1,1,4,2,3,3,2,4,3,1,2,4,,4,4
71,20230523,1,3,2,3,3,4,1,1,2,4,2,4,4,,4
72,20230524,1,2,3,4,1,2,4,1,3,2,3,4,4,4,
73,20230525,1,4,2,1,2,1,3,2,3,3,4,4,4,4,
74,20230526,4,1,1,2,3,2,3,4,2,1,3,4,4,4,
75,20230529,,2,1,3,1,1,2,4,3,2,3,4,4,4,4
76,20230530,4,1,1,2,4,3,2,3,2,4,1,3,4,4,
77,20230531,1,2,1,2,2,4,3,3,4,1,4,3,4,4,
78,20230601,1,4,1,2,1,2,2,3,4,4,3,3,4,4,
79,20230602,4,1,1,2,4,2,2,4,1,3,3,4,3,4,
80,20230605,1,1,1,2,3,3,4,2,4,3,2,4,4,,4
81,20230606,4,4,1,1,3,2,3,3,2,1,2,4,4,,4
82,20230607,4,3,3,1,1,2,4,2,4,4,2,3,1,,4
83,20230608,1,3,2,1,1,4,4,4,2,3,4,2,4,3,
84,20230609,2,1,3,1,4,4,2,1,3,2,3,4,4,4,
85,20230612,1,3,1,2,4,2,4,1,,2,3,4,3,4,4
